,90s,SCA,SCA90,PassLive (SCA),PassDead (SCA),Drib (SCA),Sh (SCA),Fld (SCA),Def (SCA),GCA,GCA90,PassLive (GCA),PassDead (GCA),Drib (GCA),Sh (GCA),Fld (GCA),Def (GCA)
Harry-Maguire,28.8,39.0,1.3541666666666667,31.0,1.0,2.0,3.0,1.0,1.0,2.0,0.06944444444444445,1.0,0.0,0.0,1.0,0.0,0.0
Éder-Militão,9.1,8.0,0.8791208791208791,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferland-Mendy,35.9,102.0,2.8412256267409473,84.0,2.0,9.0,2.0,5.0,0.0,8.0,0.22284122562674097,7.0,0.0,1.0,0.0,0.0,0.0
Abdou-Diallo,33.3,18.0,0.5405405405405406,16.0,0.0,0.0,1.0,1.0,0.0,2.0,0.060060060060060066,1.0,0.0,0.0,1.0,0.0,0.0
Mats-Hummels,25.7,25.0,0.9727626459143969,21.0,0.0,1.0,1.0,1.0,1.0,1.0,0.038910505836575876,1.0,0.0,0.0,0.0,0.0,0.0
Franck-Kessié,35.7,104.0,2.9131652661064424,91.0,2.0,6.0,2.0,1.0,2.0,6.0,0.1680672268907563,5.0,0.0,1.0,0.0,0.0,0.0
Leonardo-Spinazzola,7.4,23.0,3.108108108108108,19.0,0.0,1.0,3.0,0.0,0.0,2.0,0.27027027027027023,1.0,0.0,0.0,1.0,0.0,0.0
Nico-Schulz,33.1,123.0,3.716012084592145,100.0,2.0,9.0,4.0,5.0,3.0,14.0,0.4229607250755287,9.0,1.0,1.0,1.0,1.0,1.0
Joachim-Andersen,32.0,25.0,0.78125,21.0,1.0,1.0,2.0,0.0,0.0,3.0,0.09375,3.0,0.0,0.0,0.0,0.0,0.0
Bryan-Cristante,32.6,80.0,2.4539877300613497,69.0,0.0,3.0,4.0,1.0,3.0,8.0,0.24539877300613497,6.0,0.0,0.0,2.0,0.0,0.0
Julian-Weigl,19.4,13.0,0.6701030927835052,9.0,1.0,0.0,2.0,1.0,0.0,1.0,0.051546391752577324,1.0,0.0,0.0,0.0,0.0,0.0
Luca-Pellegrini,12.5,19.0,1.52,15.0,1.0,2.0,0.0,0.0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0
Guillermo-Maripán,22.3,13.0,0.5829596412556054,6.0,2.0,0.0,4.0,1.0,0.0,5.0,0.22421524663677128,2.0,1.0,0.0,2.0,0.0,0.0
Leander-Dendoncker,16.3,23.0,1.411042944785276,19.0,0.0,1.0,2.0,1.0,0.0,2.0,0.12269938650306748,2.0,0.0,0.0,0.0,0.0,0.0
Diego-Demme,24.2,65.0,2.6859504132231407,55.0,9.0,0.0,0.0,1.0,0.0,4.0,0.1652892561983471,4.0,0.0,0.0,0.0,0.0,0.0
Martin-Hinteregger,37.5,29.0,0.7733333333333333,19.0,2.0,0.0,3.0,2.0,3.0,2.0,0.05333333333333334,2.0,0.0,0.0,0.0,0.0,0.0
Jeison-Murillo,3.3,2.0,0.6060606060606061,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
