,90s,Tkl (Total),TklW (Total),Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),Tkl (vs. dribbles),Att (vs. dribbles),Tkl% (vs. dribbles),Past (vs. dribbles),Press,Succ (Press),Succ % (Press),Def 3rd (Press),Mid 3rd (Press),Att 3rd (Press),Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Harry-Maguire,28.8,33.0,19.0,24.0,8.0,1.0,8.0,15.0,53.333333333333336,7.0,174.0,55.0,31.60919540229885,106.0,60.0,8.0,49.0,21.0,0.0,28.0,32.0,65.0,152.0,1.0
Éder-Militão,9.1,25.0,17.0,18.0,7.0,0.0,8.0,18.0,44.44444444444444,10.0,105.0,29.0,27.61904761904762,66.0,30.0,9.0,18.0,4.0,0.0,14.0,10.0,35.0,46.0,0.0
Ferland-Mendy,35.9,57.0,36.0,37.0,14.0,6.0,14.0,22.0,63.63636363636363,8.0,453.0,122.0,26.93156732891832,237.0,140.0,76.0,51.0,7.0,0.0,44.0,32.0,89.0,69.0,0.0
Abdou-Diallo,33.3,48.0,29.0,28.0,18.0,2.0,11.0,24.0,45.83333333333333,13.0,315.0,104.0,33.01587301587301,181.0,119.0,15.0,57.0,18.0,1.0,39.0,29.0,77.0,125.0,4.0
Mats-Hummels,25.7,40.0,25.0,29.0,9.0,2.0,18.0,41.0,43.90243902439025,23.0,168.0,63.0,37.5,113.0,44.0,11.0,22.0,8.0,0.0,14.0,38.0,78.0,96.0,0.0
Franck-Kessié,35.7,64.0,51.0,27.0,28.0,9.0,24.0,56.0,42.857142857142854,32.0,680.0,183.0,26.91176470588235,188.0,355.0,137.0,46.0,13.0,0.0,33.0,29.0,93.0,58.0,0.0
Leonardo-Spinazzola,7.4,8.0,6.0,5.0,2.0,1.0,5.0,10.0,50.0,5.0,91.0,28.0,30.76923076923077,38.0,22.0,31.0,7.0,0.0,0.0,7.0,2.0,10.0,5.0,0.0
Nico-Schulz,33.1,50.0,31.0,26.0,16.0,8.0,18.0,37.0,48.64864864864865,19.0,414.0,124.0,29.951690821256037,166.0,166.0,82.0,46.0,4.0,0.0,42.0,32.0,82.0,38.0,0.0
Joachim-Andersen,32.0,32.0,20.0,29.0,3.0,0.0,14.0,30.0,46.666666666666664,16.0,155.0,47.0,30.32258064516129,99.0,50.0,6.0,38.0,18.0,0.0,20.0,18.0,50.0,146.0,3.0
Bryan-Cristante,32.6,88.0,56.0,30.0,48.0,10.0,26.0,88.0,29.545454545454547,62.0,1050.0,242.0,23.047619047619047,299.0,573.0,178.0,64.0,8.0,0.0,56.0,27.0,115.0,53.0,1.0
Julian-Weigl,19.4,42.0,25.0,24.0,14.0,4.0,18.0,41.0,43.90243902439025,23.0,210.0,69.0,32.857142857142854,103.0,103.0,4.0,33.0,8.0,0.0,25.0,16.0,58.0,65.0,0.0
Luca-Pellegrini,12.5,25.0,18.0,15.0,8.0,2.0,15.0,28.0,53.57142857142857,13.0,211.0,60.0,28.436018957345972,114.0,61.0,36.0,24.0,3.0,0.0,21.0,16.0,41.0,26.0,0.0
Guillermo-Maripán,22.3,46.0,25.0,34.0,12.0,0.0,22.0,37.0,59.45945945945946,15.0,193.0,66.0,34.196891191709845,135.0,53.0,5.0,41.0,16.0,0.0,25.0,23.0,69.0,157.0,3.0
Leander-Dendoncker,16.3,47.0,35.0,21.0,22.0,4.0,13.0,50.0,26.0,37.0,519.0,142.0,27.360308285163775,212.0,253.0,54.0,45.0,6.0,0.0,39.0,16.0,63.0,29.0,0.0
Diego-Demme,24.2,76.0,51.0,22.0,47.0,7.0,26.0,69.0,37.68115942028986,43.0,451.0,157.0,34.811529933481154,130.0,257.0,64.0,31.0,3.0,0.0,28.0,22.0,98.0,21.0,0.0
Martin-Hinteregger,37.5,95.0,64.0,61.0,31.0,3.0,43.0,81.0,53.086419753086425,38.0,375.0,148.0,39.46666666666667,200.0,157.0,18.0,63.0,21.0,1.0,42.0,46.0,141.0,170.0,0.0
Jeison-Murillo,3.3,6.0,4.0,3.0,3.0,0.0,2.0,5.0,40.0,3.0,32.0,12.0,37.5,18.0,13.0,1.0,5.0,3.0,1.0,2.0,5.0,11.0,14.0,1.0
Robert-Skov,4.8,4.0,2.0,2.0,1.0,1.0,2.0,5.0,40.0,3.0,46.0,8.0,17.391304347826086,11.0,19.0,16.0,13.0,0.0,0.0,13.0,3.0,7.0,2.0,0.0
Denis-Vavro,3.7,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,10.0,2.0,20.0,6.0,4.0,0.0,5.0,2.0,0.0,3.0,3.0,5.0,11.0,0.0
Erick-Pulgar,26.2,79.0,53.0,42.0,29.0,8.0,31.0,81.0,38.2716049382716,50.0,532.0,163.0,30.639097744360903,230.0,242.0,60.0,43.0,6.0,0.0,37.0,46.0,125.0,50.0,1.0
Giovanni-Di-Lorenzo,37.0,78.0,51.0,45.0,26.0,7.0,26.0,55.0,47.27272727272727,29.0,681.0,152.0,22.3201174743025,328.0,240.0,113.0,79.0,13.0,1.0,66.0,28.0,106.0,67.0,0.0
Joseph-Aidoo,5.0,11.0,9.0,9.0,2.0,0.0,6.0,9.0,66.66666666666666,3.0,51.0,21.0,41.17647058823529,37.0,13.0,1.0,7.0,2.0,0.0,5.0,9.0,20.0,23.0,2.0
Nacho-Monreal,30.2,54.0,36.0,26.0,22.0,6.0,18.0,49.0,36.734693877551024,31.0,410.0,104.0,25.365853658536587,195.0,158.0,57.0,51.0,12.0,1.0,39.0,28.0,82.0,123.0,2.0
Amir-Rrahmani,6.8,16.0,10.0,13.0,3.0,0.0,9.0,16.0,56.25,7.0,89.0,20.0,22.47191011235955,61.0,20.0,8.0,18.0,1.0,0.0,17.0,3.0,19.0,30.0,1.0
Sebastiaan-Bornauw,3.2,8.0,3.0,5.0,3.0,0.0,2.0,4.0,50.0,2.0,36.0,19.0,52.77777777777778,20.0,13.0,3.0,7.0,2.0,0.0,5.0,6.0,14.0,22.0,0.0
Emil-Krafth,33.0,62.0,38.0,39.0,18.0,5.0,26.0,74.0,35.13513513513514,48.0,448.0,126.0,28.125,255.0,140.0,53.0,66.0,14.0,1.0,52.0,17.0,79.0,105.0,0.0
Raúl-Albiol,24.5,26.0,20.0,20.0,6.0,0.0,7.0,18.0,38.88888888888889,11.0,135.0,44.0,32.592592592592595,90.0,41.0,4.0,37.0,23.0,1.0,14.0,23.0,49.0,117.0,1.0
Cristian-Ansaldi,20.1,44.0,24.0,18.0,20.0,6.0,11.0,33.0,33.33333333333333,22.0,340.0,102.0,30.0,113.0,164.0,63.0,40.0,3.0,0.0,37.0,15.0,59.0,29.0,0.0
Erik-Pieters,14.0,54.0,35.0,32.0,18.0,4.0,19.0,31.0,61.29032258064516,12.0,241.0,76.0,31.535269709543567,126.0,84.0,31.0,30.0,11.0,0.0,19.0,11.0,65.0,63.0,0.0
Gary-Medel,5.0,22.0,12.0,10.0,12.0,0.0,9.0,24.0,37.5,15.0,127.0,56.0,44.09448818897638,53.0,72.0,2.0,13.0,2.0,0.0,11.0,2.0,24.0,3.0,0.0
Allan-Nyom,19.0,39.0,25.0,22.0,13.0,4.0,17.0,25.0,68.0,8.0,306.0,92.0,30.065359477124183,144.0,121.0,41.0,25.0,2.0,0.0,23.0,21.0,60.0,43.0,0.0
Jonathan-Silva,30.0,54.0,29.0,34.0,15.0,5.0,28.0,69.0,40.57971014492754,41.0,541.0,134.0,24.76894639556377,276.0,205.0,60.0,49.0,3.0,0.0,46.0,31.0,85.0,77.0,0.0
Bruno-Ecuele-Manga,37.5,68.0,43.0,50.0,12.0,6.0,29.0,59.0,49.152542372881356,30.0,557.0,171.0,30.700179533213646,349.0,192.0,16.0,86.0,29.0,0.0,57.0,52.0,120.0,162.0,4.0
Stefan-Ilsanker,15.2,35.0,29.0,17.0,17.0,1.0,17.0,40.0,42.5,23.0,163.0,65.0,39.87730061349693,65.0,81.0,17.0,23.0,5.0,0.0,18.0,14.0,49.0,61.0,1.0
Riechedly-Bazoer,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Roberto-Rosales,19.4,43.0,31.0,19.0,17.0,7.0,21.0,50.0,42.0,29.0,283.0,80.0,28.26855123674912,142.0,98.0,43.0,40.0,8.0,0.0,32.0,19.0,62.0,88.0,0.0
Facundo-Roncaglia,21.2,49.0,28.0,38.0,10.0,1.0,19.0,38.0,50.0,19.0,218.0,72.0,33.02752293577982,146.0,68.0,4.0,38.0,10.0,0.0,28.0,22.0,71.0,91.0,1.0
Gaëtan-Bong,20.1,22.0,15.0,12.0,6.0,4.0,5.0,15.0,33.33333333333333,10.0,239.0,70.0,29.288702928870293,155.0,63.0,21.0,46.0,9.0,0.0,37.0,16.0,38.0,54.0,0.0
