,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won (Aerial Duels),Lost (Aerial Duels),Won% (Aerial Duels)
Harry-Maguire,28.8,6.0,1.0,0.0,20.0,16.0,4.0,5.0,32.0,19.0,0.0,0.0,0.0,403.0,93.0,26.0,78.15126050420169
Éder-Militão,9.1,2.0,0.0,0.0,15.0,13.0,0.0,10.0,10.0,17.0,0.0,1.0,0.0,108.0,20.0,7.0,74.07407407407408
Ferland-Mendy,35.9,3.0,0.0,0.0,37.0,51.0,0.0,90.0,32.0,36.0,0.0,1.0,0.0,350.0,47.0,32.0,59.49367088607595
Abdou-Diallo,33.3,2.0,1.0,0.0,25.0,14.0,1.0,26.0,29.0,29.0,0.0,0.0,0.0,328.0,43.0,21.0,67.1875
Mats-Hummels,25.7,2.0,0.0,0.0,17.0,10.0,2.0,1.0,38.0,25.0,0.0,1.0,0.0,302.0,74.0,30.0,71.15384615384616
Franck-Kessié,35.7,8.0,0.0,0.0,50.0,36.0,4.0,31.0,29.0,51.0,0.0,1.0,0.0,305.0,31.0,30.0,50.81967213114754
Leonardo-Spinazzola,7.4,0.0,0.0,0.0,3.0,2.0,1.0,34.0,2.0,6.0,0.0,0.0,0.0,65.0,7.0,4.0,63.63636363636363
Nico-Schulz,33.1,6.0,0.0,0.0,34.0,25.0,11.0,143.0,32.0,31.0,2.0,0.0,0.0,272.0,6.0,14.0,30.0
Joachim-Andersen,32.0,7.0,0.0,0.0,31.0,14.0,0.0,1.0,18.0,20.0,0.0,1.0,0.0,388.0,64.0,38.0,62.745098039215684
Bryan-Cristante,32.6,10.0,0.0,0.0,76.0,20.0,0.0,26.0,27.0,56.0,0.0,0.0,0.0,367.0,59.0,46.0,56.19047619047619
Julian-Weigl,19.4,5.0,0.0,0.0,20.0,25.0,0.0,0.0,16.0,25.0,0.0,2.0,0.0,201.0,11.0,13.0,45.83333333333333
Luca-Pellegrini,12.5,6.0,2.0,2.0,25.0,10.0,1.0,50.0,16.0,18.0,0.0,2.0,0.0,113.0,10.0,16.0,38.46153846153847
Guillermo-Maripán,22.3,5.0,0.0,0.0,16.0,9.0,1.0,0.0,23.0,25.0,0.0,1.0,0.0,190.0,73.0,32.0,69.52380952380952
Leander-Dendoncker,16.3,1.0,0.0,0.0,11.0,11.0,1.0,8.0,16.0,35.0,0.0,0.0,0.0,150.0,45.0,39.0,53.57142857142857
Diego-Demme,24.2,4.0,0.0,0.0,39.0,53.0,0.0,36.0,22.0,51.0,0.0,0.0,0.0,330.0,16.0,17.0,48.484848484848484
Martin-Hinteregger,37.5,3.0,0.0,0.0,35.0,35.0,2.0,3.0,46.0,64.0,0.0,0.0,1.0,473.0,96.0,49.0,66.20689655172414
Jeison-Murillo,3.3,1.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,31.0,5.0,7.0,41.66666666666667
Robert-Skov,4.8,2.0,0.0,0.0,4.0,5.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,46.0,3.0,1.0,75.0
Denis-Vavro,3.7,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,39.0,8.0,4.0,66.66666666666666
Erick-Pulgar,26.2,6.0,1.0,0.0,31.0,34.0,0.0,38.0,46.0,53.0,0.0,0.0,1.0,369.0,41.0,23.0,64.0625
Giovanni-Di-Lorenzo,37.0,8.0,0.0,0.0,45.0,53.0,2.0,94.0,28.0,51.0,0.0,1.0,0.0,266.0,38.0,25.0,60.317460317460316
Joseph-Aidoo,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,64.0,11.0,9.0,55.00000000000001
