,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In (CK),Out (CK),Str (CK),Ground (Height),Low (Height),High (Hight),Left Foot,Right Foot,Head,TI,Other Body Part,Cmp,Off,Out,Int,Blocks
Harry-Maguire,28.8,1749.0,1682.0,67.0,63.0,2.0,272.0,80.0,5.0,0.0,0.0,0.0,0.0,1164.0,228.0,357.0,200.0,1336.0,154.0,4.0,8.0,1496.0,1.0,39.0,17.0,17.0
Éder-Militão,9.1,456.0,406.0,50.0,15.0,0.0,73.0,22.0,10.0,0.0,0.0,0.0,0.0,289.0,65.0,102.0,55.0,319.0,33.0,35.0,1.0,371.0,1.0,7.0,8.0,7.0
Ferland-Mendy,35.9,2383.0,2073.0,310.0,32.0,9.0,419.0,68.0,90.0,0.0,0.0,0.0,0.0,1620.0,450.0,313.0,1451.0,543.0,76.0,278.0,5.0,1986.0,10.0,41.0,52.0,71.0
Abdou-Diallo,33.3,2528.0,2329.0,199.0,50.0,2.0,274.0,64.0,26.0,0.0,0.0,0.0,0.0,1979.0,281.0,268.0,1919.0,358.0,75.0,149.0,3.0,2229.0,4.0,38.0,33.0,35.0
Mats-Hummels,25.7,2176.0,2138.0,38.0,32.0,8.0,297.0,58.0,1.0,0.0,0.0,0.0,0.0,1752.0,139.0,285.0,755.0,1265.0,105.0,6.0,4.0,1946.0,6.0,32.0,17.0,12.0
Franck-Kessié,35.7,1843.0,1800.0,43.0,29.0,7.0,299.0,35.0,31.0,4.0,0.0,0.0,0.0,1470.0,155.0,218.0,329.0,1429.0,49.0,10.0,4.0,1591.0,5.0,20.0,30.0,33.0
Leonardo-Spinazzola,7.4,438.0,391.0,47.0,2.0,0.0,69.0,16.0,34.0,0.0,0.0,0.0,0.0,290.0,60.0,88.0,87.0,284.0,13.0,45.0,3.0,345.0,0.0,11.0,6.0,14.0
Nico-Schulz,33.1,1804.0,1508.0,296.0,7.0,2.0,299.0,35.0,143.0,1.0,0.0,0.0,0.0,1124.0,387.0,293.0,1225.0,257.0,22.0,288.0,6.0,1382.0,6.0,33.0,49.0,87.0
Joachim-Andersen,32.0,2048.0,1957.0,91.0,89.0,0.0,284.0,118.0,1.0,0.0,0.0,0.0,0.0,1551.0,174.0,323.0,350.0,1546.0,100.0,2.0,5.0,1816.0,3.0,35.0,22.0,14.0
Bryan-Cristante,32.6,1682.0,1655.0,27.0,22.0,4.0,343.0,52.0,26.0,0.0,0.0,0.0,0.0,1183.0,229.0,270.0,175.0,1390.0,62.0,5.0,7.0,1384.0,5.0,30.0,44.0,34.0
Julian-Weigl,19.4,1461.0,1431.0,30.0,30.0,0.0,119.0,56.0,0.0,0.0,0.0,0.0,0.0,1268.0,94.0,99.0,105.0,1312.0,33.0,0.0,5.0,1371.0,2.0,10.0,8.0,16.0
Luca-Pellegrini,12.5,650.0,515.0,135.0,16.0,0.0,119.0,24.0,50.0,1.0,0.0,1.0,0.0,298.0,159.0,193.0,422.0,79.0,24.0,118.0,1.0,453.0,2.0,16.0,11.0,35.0
Guillermo-Maripán,22.3,679.0,614.0,65.0,65.0,0.0,95.0,26.0,0.0,0.0,0.0,0.0,0.0,412.0,69.0,198.0,82.0,507.0,58.0,0.0,2.0,527.0,0.0,20.0,8.0,11.0
Leander-Dendoncker,16.3,625.0,621.0,4.0,2.0,1.0,154.0,12.0,8.0,0.0,0.0,0.0,0.0,399.0,121.0,105.0,110.0,416.0,59.0,2.0,3.0,504.0,0.0,8.0,11.0,16.0
