,90s,Cmp (Total),Att (Total),Cmp% (Total),TotDist,PrgDist,Cmp (Short),Att (Short),Cmp% (Short),Cmp (Medium),Att (Medium),Cmp% (Medium),Cmp (Long),Att (Long),Cmp% (Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Harry-Maguire,28.8,1496.0,1749.0,85.53459119496856,35358.0,11710.0,382.0,436.0,87.61467889908256,741.0,812.0,91.25615763546799,361.0,471.0,76.64543524416136,0.0,0.3,-0.3,9.0,177.0,10.0,0.0,148.0
Éder-Militão,9.1,371.0,456.0,81.35964912280701,8014.0,2246.0,119.0,128.0,92.96875,183.0,216.0,84.72222222222221,65.0,95.0,68.42105263157895,0.0,0.2,-0.2,3.0,14.0,2.0,1.0,13.0
Ferland-Mendy,35.9,1986.0,2383.0,83.34032731850608,35555.0,10810.0,976.0,1086.0,89.87108655616943,748.0,876.0,85.38812785388129,245.0,343.0,71.42857142857143,2.0,4.7,-2.6999999999999997,48.0,157.0,42.0,13.0,193.0
Abdou-Diallo,33.3,2229.0,2528.0,88.17246835443038,44165.0,14934.0,815.0,881.0,92.50851305334847,1074.0,1157.0,92.82627484874676,321.0,443.0,72.46049661399549,1.0,1.0,0.0,14.0,155.0,16.0,7.0,149.0
Mats-Hummels,25.7,1946.0,2176.0,89.43014705882352,42790.0,13885.0,470.0,501.0,93.812375249501,1132.0,1190.0,95.12605042016806,340.0,469.0,72.49466950959487,1.0,1.1,-0.1,12.0,156.0,13.0,0.0,152.0
Franck-Kessié,35.7,1591.0,1843.0,86.32664134563213,28162.0,6918.0,721.0,788.0,91.49746192893402,694.0,772.0,89.89637305699482,158.0,232.0,68.10344827586206,2.0,2.6,-0.6000000000000001,44.0,143.0,42.0,6.0,158.0
Leonardo-Spinazzola,7.4,345.0,438.0,78.76712328767124,6285.0,1812.0,161.0,189.0,85.18518518518519,147.0,165.0,89.0909090909091,35.0,68.0,51.470588235294116,1.0,0.5,0.5,10.0,16.0,22.0,9.0,38.0
Nico-Schulz,33.1,1382.0,1804.0,76.60753880266076,24860.0,9051.0,625.0,731.0,85.49931600547195,586.0,732.0,80.05464480874316,162.0,275.0,58.909090909090914,6.0,9.6,-3.6,68.0,77.0,63.0,36.0,155.0
Joachim-Andersen,32.0,1816.0,2048.0,88.671875,40867.0,12600.0,476.0,520.0,91.53846153846153,954.0,1015.0,93.99014778325123,375.0,492.0,76.21951219512195,1.0,0.5,0.5,6.0,150.0,6.0,1.0,137.0
Bryan-Cristante,32.6,1384.0,1682.0,82.28299643281808,26118.0,8211.0,589.0,678.0,86.8731563421829,602.0,710.0,84.78873239436619,179.0,252.0,71.03174603174604,3.0,2.2,0.8,33.0,178.0,30.0,5.0,201.0
Julian-Weigl,19.4,1371.0,1461.0,93.83983572895276,31160.0,7625.0,327.0,354.0,92.37288135593221,742.0,763.0,97.24770642201835,296.0,324.0,91.35802469135803,0.0,0.5,-0.5,4.0,73.0,6.0,0.0,90.0
