,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Harry-Maguire,31.0,2596.0,83.74193548387096,75.9,28.8,31.0,84.0,28.0,0.0,0.0,1.0,1.29,36.0,40.0,-4.0,0.10069444444444443,36.7,33.8,2.9,0.1
Éder-Militão,9.0,822.0,91.33333333333333,88.4,9.1,9.0,91.0,8.0,0.0,0.0,0.0,1.78,16.0,13.0,3.0,0.07692307692307693,13.6,12.9,0.7,0.08
Ferland-Mendy,38.0,3237.0,85.1842105263158,79.25628668520234,35.9,35.0,88.77142857142857,33.0,3.0,351.0,1.0,3.0,65.0,47.0,18.0,0.4122562674094708,63.6,48.800000000000004,14.8,0.2
Abdou-Diallo,35.0,2998.0,85.65714285714286,79.41370913942629,33.3,34.0,88.0,30.0,1.0,189.0,0.0,3.9299999999999997,68.0,42.0,26.0,0.5735735735735736,56.7,37.599999999999994,19.1,1.3900000000000001
Mats-Hummels,27.0,2314.0,85.70370370370371,61.93651685393259,25.7,26.0,89.23076923076923,24.0,1.0,0.0,9.0,3.93,60.0,23.0,37.0,1.3268482490272375,56.4,22.3,34.1,2.0
Franck-Kessié,37.0,3219.0,87.0,85.01547064305686,35.7,36.0,89.11111111111111,33.0,1.0,40.0,2.0,3.21,53.0,36.0,17.0,0.1792717086834734,45.199999999999996,38.8,6.4,-0.22
Leonardo-Spinazzola,11.0,667.0,60.63636363636363,16.5808095952024,7.4,7.0,83.14285714285714,5.0,4.0,33.0,20.0,4.5,14.0,11.0,3.0,0.4054054054054054,9.700000000000001,6.800000000000001,3.0,1.03
Nico-Schulz,35.0,2981.0,85.17142857142858,82.79573968466958,33.1,34.0,87.29411764705883,27.0,1.0,580.0,1.0,2.0,63.0,59.0,4.0,0.47129909365558914,68.7,53.099999999999994,15.600000000000001,0.85
Joachim-Andersen,32.0,2880.0,90.0,84.2,32.0,32.0,90.0,32.0,0.0,0.0,1.0,1.5,52.0,42.0,10.0,-0.08125,41.6,44.2,-2.6,-0.08
Bryan-Cristante,42.0,2942.0,70.04761904761905,70.54853840924541,32.6,31.0,84.96774193548387,27.0,11.0,76.45454545454545,2.0,3.4,56.0,48.0,8.0,0.17484662576687116,53.9,48.1,5.7,0.71
Julian-Weigl,22.0,1744.0,79.27272727272727,46.27373853211009,19.4,19.0,86.3157894736842,16.0,3.0,222.33333333333334,12.0,4.470000000000001,41.0,24.0,17.0,0.5927835051546392,33.7,22.3,11.5,1.8399999999999999
Luca-Pellegrini,18.0,1128.0,62.666666666666664,23.67367021276596,12.5,13.0,81.6923076923077,9.0,5.0,42.2,15.0,4.42,13.0,19.0,-6.0,-0.64,13.5,21.5,-8.0,-1.17
Guillermo-Maripán,23.0,2008.0,87.30434782608695,58.7,22.3,22.0,90.0,21.0,1.0,30.0,5.0,1.61,27.0,26.0,1.0,-0.3856502242152466,21.8,30.5,-8.6,-0.39
Leander-Dendoncker,19.0,1467.0,77.21052631578948,42.9,16.3,17.0,85.0,13.0,2.0,13.0,8.0,1.79,22.0,21.0,1.0,0.042944785276073615,19.2,18.5,0.7,0.04
Diego-Demme,29.0,2184.0,75.3103448275862,64.64244505494506,24.2,25.0,84.16,16.0,4.0,26.25,3.0,3.38,46.0,20.0,26.0,0.8016528925619835,44.1,24.700000000000003,19.4,1.81
Martin-Hinteregger,39.0,3377.0,86.58974358974359,46.6393544566183,37.5,39.0,86.92307692307692,36.0,0.0,,0.0,3.69,54.0,57.0,-3.0,-0.06933333333333334,52.2,54.8,-2.6000000000000005,0.009999999999999953
Jeison-Murillo,4.0,293.0,73.25,7.201023890784983,3.3,3.0,90.33333333333333,3.0,1.0,22.0,17.0,1.5,1.0,4.0,-3.0,0.09090909090909094,5.2,5.0,0.3000000000000001,0.3500000000000001
Robert-Skov,6.0,436.0,72.66666666666667,80.7,4.8,5.0,81.0,2.0,1.0,32.0,0.0,1.69,2.0,5.0,-3.0,0.0,3.8,3.9,0.0,-0.01
Denis-Vavro,6.0,335.0,55.833333333333336,62.0,3.7,4.0,81.0,3.0,2.0,5.0,0.0,1.79,2.0,2.0,0.0,0.02702702702702703,2.8,2.7,0.1,0.04
Erick-Pulgar,28.0,2357.0,84.17857142857143,68.9,26.2,27.0,86.0,20.0,1.0,23.0,5.0,1.25,37.0,42.0,-5.0,0.11068702290076336,35.3,32.4,2.9,0.11
Giovanni-Di-Lorenzo,37.0,3330.0,90.0,97.4,37.0,37.0,90.0,37.0,0.0,0.0,0.0,1.03,51.0,69.0,-18.0,-0.22702702702702704,51.5,59.9,-8.4,-0.23
Joseph-Aidoo,5.0,450.0,90.0,62.5,5.0,5.0,90.0,5.0,0.0,0.0,2.0,2.0,9.0,3.0,6.0,0.44000000000000006,6.4,4.2,2.2,0.44
Nacho-Monreal,34.0,2719.0,79.97058823529412,57.30312614931961,30.2,31.0,85.70967741935483,28.0,3.0,211.33333333333334,4.0,4.390000000000001,64.0,35.0,29.0,0.3741721854304636,48.2,36.900000000000006,11.3,0.89
Amir-Rrahmani,7.0,615.0,87.85714285714286,66.1,6.8,6.0,95.0,6.0,1.0,45.0,3.0,2.0,11.0,6.0,5.0,0.6029411764705882,9.0,5.0,4.1,0.7
Sebastiaan-Bornauw,4.0,287.0,71.75,53.1,3.2,4.0,72.0,2.0,0.0,0.0,1.0,0.75,2.0,2.0,0.0,0.09374999999999999,2.7,2.4,0.3,0.09
Emil-Krafth,35.0,2974.0,84.97142857142858,87.0,33.0,33.0,90.0,32.0,2.0,10.0,2.0,1.06,28.0,43.0,-15.0,-0.3303030303030303,30.8,41.7,-10.9,-0.33
Raúl-Albiol,26.0,2208.0,84.92307692307692,59.426086956521736,24.5,25.0,88.32,24.0,1.0,38.0,6.0,3.6,39.0,26.0,13.0,0.7632653061224489,43.5,24.900000000000002,18.7,1.52
Cristian-Ansaldi,24.0,1807.0,75.29166666666667,52.8,20.1,23.0,78.0,13.0,1.0,24.0,4.0,1.71,23.0,15.0,8.0,-0.29850746268656714,21.3,27.3,-6.0,-0.3
