,90s,Touches,Def Pen (Touches),Def 3rd (Touches),Mid 3rd (Touches),Att 3rd (Touches),Att Pen (Touches),Live (Touches),Succ (Dribbles),Att (Dribbles),Succ% (Dribbles),#Pl (Dribbles),Nutmegs,Carries,TotDist (Carries),PrgDist (Carries),Prog (Carries),Fin 1/3 (Carries),PA (Carries),Mis (Carries),Dis (Carries),Target of pass,Rec,Rec%,Prog
Harry-Maguire,28.8,2066.0,248.0,984.0,1097.0,192.0,65.0,2003.0,17.0,20.0,85.0,17.0,0.0,1338.0,9480.0,5721.0,156.0,38.0,1.0,13.0,10.0,1347.0,1299.0,96.43652561247215,57.0
Éder-Militão,9.1,573.0,38.0,239.0,275.0,88.0,11.0,526.0,7.0,9.0,77.77777777777779,7.0,2.0,335.0,1657.0,763.0,20.0,7.0,1.0,1.0,5.0,323.0,305.0,94.42724458204334,13.0
Ferland-Mendy,35.9,2771.0,111.0,663.0,1432.0,887.0,80.0,2474.0,64.0,88.0,72.72727272727273,69.0,2.0,2018.0,10469.0,6259.0,281.0,94.0,29.0,51.0,50.0,1999.0,1870.0,93.54677338669335,123.0
Abdou-Diallo,33.3,2857.0,231.0,1095.0,1599.0,353.0,24.0,2665.0,43.0,60.0,71.66666666666667,47.0,2.0,2105.0,10481.0,5840.0,198.0,37.0,3.0,19.0,23.0,2115.0,2055.0,97.16312056737588,25.0
Mats-Hummels,25.7,2395.0,179.0,1119.0,1351.0,115.0,35.0,2359.0,6.0,8.0,75.0,7.0,0.0,1780.0,9563.0,5813.0,199.0,31.0,1.0,3.0,2.0,1856.0,1831.0,98.65301724137932,29.0
Franck-Kessié,35.7,2232.0,89.0,430.0,1287.0,697.0,123.0,2192.0,48.0,71.0,67.6056338028169,52.0,3.0,1766.0,8891.0,4625.0,170.0,74.0,12.0,64.0,45.0,1922.0,1664.0,86.57648283038502,188.0
Leonardo-Spinazzola,7.4,517.0,18.0,110.0,211.0,252.0,35.0,470.0,11.0,33.0,33.33333333333333,13.0,1.0,384.0,3114.0,2057.0,105.0,26.0,20.0,9.0,12.0,412.0,369.0,89.56310679611651,31.0
Nico-Schulz,33.1,2161.0,62.0,486.0,1046.0,819.0,123.0,1869.0,57.0,110.0,51.81818181818182,62.0,4.0,1503.0,8801.0,5596.0,275.0,74.0,36.0,52.0,42.0,1598.0,1405.0,87.9224030037547,170.0
Joachim-Andersen,32.0,2307.0,345.0,1135.0,1281.0,69.0,18.0,2222.0,14.0,15.0,93.33333333333333,14.0,0.0,1529.0,8527.0,5332.0,103.0,14.0,0.0,3.0,8.0,1598.0,1576.0,98.6232790988736,15.0
Bryan-Cristante,32.6,2051.0,78.0,418.0,1247.0,509.0,61.0,2030.0,42.0,56.0,75.0,43.0,1.0,1446.0,6967.0,3366.0,150.0,57.0,3.0,28.0,40.0,1569.0,1413.0,90.05736137667304,113.0
