,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Harry-Maguire,28.8,3.0,29.0,11.0,37.93103448275862,1.0069444444444444,0.3819444444444444,0.10344827586206896,0.2727272727272727,13.8,0.0,0.0,0.0,1.5,1.5,0.05172413793103448,1.5,1.5
Éder-Militão,9.1,2.0,5.0,3.0,60.0,0.5494505494505495,0.32967032967032966,0.4,0.6666666666666666,12.8,0.0,0.0,0.0,0.6,0.6,0.12,1.4,1.4
Ferland-Mendy,35.9,2.0,34.0,10.0,29.411764705882355,0.947075208913649,0.2785515320334262,0.058823529411764705,0.2,40.6,0.0,0.0,0.0,1.6,1.6,0.047058823529411764,0.4,0.4
Abdou-Diallo,33.3,1.0,9.0,3.0,33.33333333333333,0.2702702702702703,0.0900900900900901,0.1111111111111111,0.3333333333333333,13.4,0.0,0.0,0.0,1.5,1.5,0.16666666666666666,-0.49999999999999994,-0.49999999999999994
Mats-Hummels,25.7,2.0,24.0,8.0,33.33333333333333,0.933852140077821,0.311284046692607,0.08333333333333333,0.25,18.0,0.0,0.0,0.0,2.4,2.4,0.09999999999999999,-0.40000000000000013,-0.40000000000000013
Franck-Kessié,35.7,8.0,53.0,13.0,24.528301886792452,1.4845938375350138,0.3641456582633053,0.1509433962264151,0.6153846153846154,37.0,0.0,3.0,3.0,7.3,5.1000000000000005,0.09622641509433963,0.7,-0.1
Leonardo-Spinazzola,7.4,0.0,8.0,0.0,0.0,1.081081081081081,0.0,0.0,,18.7,0.0,0.0,0.0,0.3,0.3,0.0375,-0.3,-0.3
Nico-Schulz,33.1,1.0,39.0,11.0,28.205128205128204,1.1782477341389728,0.3323262839879154,0.02564102564102564,0.09090909090909091,41.2,0.0,0.0,0.0,2.5,2.5,0.0641025641025641,-1.5,-1.5
Joachim-Andersen,32.0,0.0,13.0,5.0,38.46153846153847,0.40625,0.15625,0.0,0.0,13.3,0.0,0.0,0.0,0.9,0.9,0.06923076923076923,-0.9,-0.9
Bryan-Cristante,32.6,4.0,52.0,12.0,23.076923076923077,1.5950920245398772,0.36809815950920244,0.07692307692307693,0.3333333333333333,32.400000000000006,0.0,0.0,0.0,4.4,4.4,0.08461538461538462,-0.4,-0.4
Julian-Weigl,19.4,1.0,5.0,2.0,40.0,0.2577319587628866,0.10309278350515465,0.2,0.5,25.4,0.0,0.0,0.0,0.4,0.4,0.08,0.6000000000000001,0.6000000000000001
Luca-Pellegrini,12.5,0.0,2.0,0.0,0.0,0.16,0.0,0.0,,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo-Maripán,22.3,2.0,15.0,5.0,33.33333333333333,0.6726457399103138,0.22421524663677128,0.13333333333333333,0.4,10.5,0.0,0.0,0.0,1.2,1.2,0.08,0.8,0.8
Leander-Dendoncker,16.3,2.0,16.0,9.0,56.25,0.9815950920245399,0.5521472392638036,0.125,0.2222222222222222,12.5,0.0,0.0,0.0,2.5,2.5,0.15625,-0.5,-0.5
Diego-Demme,24.2,0.0,11.0,2.0,18.181818181818183,0.4545454545454546,0.08264462809917356,0.0,0.0,49.0,0.0,0.0,0.0,0.3,0.3,0.02727272727272727,-0.3,-0.3
Martin-Hinteregger,37.5,4.0,31.0,7.0,22.58064516129032,0.8266666666666667,0.18666666666666668,0.12903225806451613,0.5714285714285714,54.4,1.0,0.0,1.0,3.3,2.5,0.08064516129032258,0.7,1.5
