,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
Harry-Maguire,31.0,31.0,2596.0,28.8,3.0,0.0,3.0,0.0,0.0,6.0,1.0,0.10416666666666666,0.0,0.10416666666666666,0.10416666666666666,0.10416666666666666,1.5,1.5,0.3,1.8,0.05208333333333333,0.010416666666666666,0.06249999999999999,0.05208333333333333,0.0625
Éder-Militão,9.0,9.0,822.0,9.1,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.21978021978021978,0.0,0.21978021978021978,0.21978021978021978,0.21978021978021978,0.6,0.6,0.2,0.9,0.06593406593406594,0.02197802197802198,0.08791208791208792,0.06593406593406594,0.09890109890109891
Ferland-Mendy,38.0,35.0,3237.0,35.9,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.05571030640668524,0.05571030640668524,0.11142061281337048,0.05571030640668524,0.11142061281337048,1.6,1.6,4.7,6.3,0.044568245125348196,0.13091922005571033,0.1754874651810585,0.044568245125348196,0.1754874651810585
Abdou-Diallo,35.0,34.0,2998.0,33.3,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.030030030030030033,0.030030030030030033,0.060060060060060066,0.030030030030030033,0.060060060060060066,1.5,1.5,1.0,2.5,0.04504504504504505,0.030030030030030033,0.07507507507507508,0.04504504504504505,0.07507507507507508
Mats-Hummels,27.0,26.0,2314.0,25.7,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.07782101167315175,0.038910505836575876,0.11673151750972763,0.07782101167315175,0.11673151750972763,2.4,2.4,1.1,3.5,0.0933852140077821,0.04280155642023347,0.13618677042801558,0.0933852140077821,0.13618677042801558
Franck-Kessié,37.0,36.0,3219.0,35.7,8.0,2.0,5.0,3.0,3.0,8.0,0.0,0.22408963585434172,0.05602240896358543,0.2801120448179272,0.1400560224089636,0.19607843137254902,7.3,5.1000000000000005,2.6,7.6000000000000005,0.2044817927170868,0.07282913165266106,0.27731092436974786,0.14285714285714285,0.21288515406162464
Leonardo-Spinazzola,11.0,7.0,667.0,7.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513511,0.13513513513513511,0.0,0.13513513513513511,0.3,0.3,0.5,0.7999999999999999,0.040540540540540536,0.06756756756756756,0.10810810810810809,0.040540540540540536,0.1081081081081081
Nico-Schulz,35.0,34.0,2981.0,33.1,1.0,6.0,1.0,0.0,0.0,6.0,0.0,0.030211480362537763,0.18126888217522658,0.21148036253776434,0.030211480362537763,0.21148036253776434,2.5,2.5,9.6,12.1,0.0755287009063444,0.2900302114803625,0.3655589123867069,0.0755287009063444,0.3655589123867069
Joachim-Andersen,32.0,32.0,2880.0,32.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.03125,0.03125,0.0,0.03125,0.9,0.9,0.5,1.5,0.028125,0.015625,0.04375,0.028125,0.046875
Bryan-Cristante,42.0,31.0,2942.0,32.6,4.0,3.0,4.0,0.0,0.0,10.0,0.0,0.12269938650306748,0.09202453987730061,0.21472392638036808,0.12269938650306748,0.21472392638036808,4.4,4.4,2.2,6.6,0.13496932515337423,0.06748466257668712,0.20245398773006135,0.13496932515337423,0.20245398773006132
Julian-Weigl,22.0,19.0,1744.0,19.4,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.051546391752577324,0.0,0.051546391752577324,0.051546391752577324,0.051546391752577324,0.4,0.4,0.5,1.0,0.02061855670103093,0.025773195876288662,0.04639175257731959,0.02061855670103093,0.051546391752577324
Luca-Pellegrini,18.0,13.0,1128.0,12.5,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.16,0.16,0.0,0.16,0.0,0.0,1.1,1.1,0.0,0.08800000000000001,0.08800000000000001,0.0,0.08800000000000001
Guillermo-Maripán,23.0,22.0,2008.0,22.3,2.0,2.0,2.0,0.0,0.0,5.0,0.0,0.08968609865470852,0.08968609865470852,0.17937219730941703,0.08968609865470852,0.17937219730941703,1.2,1.2,0.6,1.8,0.05381165919282511,0.026905829596412554,0.08071748878923767,0.05381165919282511,0.08071748878923767
Leander-Dendoncker,19.0,17.0,1467.0,16.3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.12269938650306748,0.0,0.12269938650306748,0.12269938650306748,0.12269938650306748,2.5,2.5,1.2,3.7,0.15337423312883436,0.07361963190184048,0.22699386503067484,0.15337423312883436,0.22699386503067484
Diego-Demme,29.0,25.0,2184.0,24.2,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.12396694214876033,0.12396694214876033,0.0,0.12396694214876033,0.3,0.3,2.3,2.5999999999999996,0.012396694214876033,0.09504132231404958,0.10743801652892561,0.012396694214876033,0.10743801652892561
Martin-Hinteregger,39.0,39.0,3377.0,37.5,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.10666666666666667,0.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,3.3,2.5,0.6,3.2,0.088,0.016,0.104,0.06666666666666667,0.08533333333333334
Jeison-Murillo,4.0,3.0,293.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert-Skov,6.0,5.0,436.0,4.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.7,0.7,0.0,0.7,0.14583333333333334,0.0,0.14583333333333334,0.14583333333333334,0.14583333333333334
Denis-Vavro,6.0,4.0,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick-Pulgar,28.0,27.0,2357.0,26.2,6.0,2.0,1.0,5.0,5.0,6.0,1.0,0.22900763358778625,0.07633587786259542,0.3053435114503817,0.03816793893129771,0.11450381679389313,4.8,1.0,3.1,4.1,0.183206106870229,0.1183206106870229,0.3015267175572519,0.03816793893129771,0.1564885496183206
Giovanni-Di-Lorenzo,37.0,37.0,3330.0,37.0,5.0,3.0,5.0,0.0,0.0,8.0,0.0,0.13513513513513514,0.08108108108108109,0.21621621621621623,0.13513513513513514,0.21621621621621623,3.3,2.8,4.2,7.0,0.08918918918918918,0.11351351351351352,0.2027027027027027,0.07567567567567567,0.1891891891891892
Joseph-Aidoo,5.0,5.0,450.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04
Nacho-Monreal,34.0,31.0,2719.0,30.2,1.0,4.0,1.0,0.0,0.0,5.0,0.0,0.033112582781456956,0.13245033112582782,0.16556291390728478,0.033112582781456956,0.16556291390728478,1.6,1.6,1.3,3.0,0.05298013245033113,0.043046357615894044,0.09602649006622518,0.05298013245033113,0.09933774834437087
Amir-Rrahmani,7.0,6.0,615.0,6.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.8,0.05882352941176471,0.04411764705882353,0.10294117647058824,0.05882352941176471,0.11764705882352942
Sebastiaan-Bornauw,4.0,4.0,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03125,0.0,0.03125,0.03125,0.03125
Emil-Krafth,35.0,33.0,2974.0,33.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.7,0.7,2.5,3.1,0.02121212121212121,0.07575757575757576,0.09696969696969697,0.02121212121212121,0.09393939393939395
Raúl-Albiol,26.0,25.0,2208.0,24.5,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.2,0.2,1.0,1.2,0.00816326530612245,0.04081632653061224,0.04897959183673469,0.00816326530612245,0.04897959183673469
Cristian-Ansaldi,24.0,23.0,1807.0,20.1,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.14925373134328357,0.09950248756218905,0.24875621890547261,0.14925373134328357,0.24875621890547261,1.4,1.4,2.5,3.9,0.06965174129353233,0.12437810945273631,0.19402985074626863,0.06965174129353233,0.19402985074626863
Erik-Pieters,15.0,14.0,1261.0,14.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,1.1,1.1,1.4,2.5,0.07857142857142858,0.09999999999999999,0.17857142857142858,0.07857142857142858,0.17857142857142858
Gary-Medel,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.12,0.12,0.0,0.13999999999999999
Allan-Nyom,23.0,20.0,1708.0,19.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.2,0.2,2.1,2.4,0.010526315789473684,0.1105263157894737,0.12105263157894738,0.010526315789473684,0.12631578947368421
Jonathan-Silva,30.0,30.0,2700.0,30.0,3.0,6.0,3.0,0.0,0.0,9.0,0.0,0.1,0.2,0.30000000000000004,0.1,0.30000000000000004,1.6,1.6,3.4,5.1,0.05333333333333334,0.11333333333333333,0.16666666666666666,0.05333333333333334,0.16999999999999998
Bruno-Ecuele-Manga,38.0,37.0,3376.0,37.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.02666666666666667,0.0,0.02666666666666667,0.8,0.8,0.4,1.2,0.021333333333333336,0.010666666666666668,0.032,0.021333333333333336,0.032
Stefan-Ilsanker,25.0,15.0,1368.0,15.2,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,0.052631578947368425,0.013157894736842106,0.06578947368421054,0.052631578947368425,0.06578947368421052
Riechedly-Bazoer,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,1.0,1.0,1.0
Roberto-Rosales,21.0,20.0,1749.0,19.4,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.15463917525773196,0.051546391752577324,0.2061855670103093,0.15463917525773196,0.2061855670103093,0.7,0.7,1.0,1.7,0.03608247422680413,0.051546391752577324,0.08762886597938145,0.03608247422680413,0.08762886597938145
Facundo-Roncaglia,22.0,22.0,1908.0,21.2,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.01886792452830189,0.004716981132075472,0.02358490566037736,0.01886792452830189,0.02358490566037736
Gaëtan-Bong,22.0,19.0,1808.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.004975124378109453,0.029850746268656712,0.03482587064676616,0.004975124378109453,0.03482587064676616
