,90s,Tkl (Total),TklW (Total),Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),Tkl (vs. dribbles),Att (vs. dribbles),Tkl% (vs. dribbles),Past (vs. dribbles),Press,Succ (Press),Succ % (Press),Def 3rd (Press),Mid 3rd (Press),Att 3rd (Press),Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Eden-Hazard,37.5,9.0,7.0,2.0,0.0,7.0,3.0,19.0,15.789473684210526,16.0,439.0,111.0,25.28473804100228,74.0,155.0,210.0,14.0,0.0,0.0,14.0,14.0,23.0,2.0,0.0
Julian-Brandt,34.1,27.0,18.0,10.0,12.0,5.0,4.0,58.0,6.896551724137931,54.0,535.0,158.0,29.53271028037383,142.0,284.0,109.0,35.0,1.0,0.0,34.0,23.0,50.0,9.0,0.0
Erling-Haaland,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco-Alcácer,17.5,5.0,5.0,1.0,3.0,1.0,0.0,8.0,0.0,8.0,237.0,56.0,23.628691983122362,13.0,93.0,131.0,10.0,0.0,0.0,10.0,8.0,13.0,5.0,0.0
Wissam-Ben-Yedder,38.1,22.0,20.0,4.0,11.0,7.0,1.0,18.0,5.555555555555555,17.0,740.0,192.0,25.945945945945947,49.0,301.0,390.0,27.0,0.0,0.0,27.0,10.0,32.0,6.0,0.0
Hirving-Lozano,6.0,6.0,5.0,3.0,0.0,3.0,1.0,14.0,7.142857142857142,13.0,156.0,31.0,19.871794871794872,29.0,65.0,62.0,13.0,0.0,0.0,13.0,6.0,12.0,2.0,0.0
Moise-Kean,6.8,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,74.0,14.0,18.91891891891892,6.0,29.0,39.0,4.0,2.0,0.0,2.0,3.0,5.0,2.0,0.0
Pablo-Sarabia,35.2,36.0,29.0,8.0,16.0,12.0,8.0,75.0,10.666666666666668,67.0,735.0,153.0,20.816326530612244,142.0,381.0,212.0,49.0,6.0,0.0,43.0,23.0,59.0,14.0,0.0
Maxi-Gómez,32.9,8.0,8.0,1.0,3.0,4.0,4.0,18.0,22.22222222222222,14.0,434.0,103.0,23.732718894009217,16.0,192.0,226.0,18.0,2.0,0.0,16.0,5.0,13.0,36.0,0.0
Raúl-Jiménez,34.6,26.0,17.0,3.0,12.0,11.0,8.0,23.0,34.78260869565217,15.0,631.0,150.0,23.771790808240887,59.0,319.0,253.0,23.0,2.0,0.0,21.0,22.0,48.0,40.0,0.0
