,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won (Aerial Duels),Lost (Aerial Duels),Won% (Aerial Duels)
Eden-Hazard,37.5,2.0,0.0,0.0,14.0,128.0,11.0,92.0,14.0,7.0,1.0,0.0,0.0,207.0,14.0,24.0,36.84210526315789
Julian-Brandt,34.1,0.0,0.0,0.0,17.0,27.0,7.0,73.0,23.0,18.0,0.0,0.0,0.0,281.0,23.0,29.0,44.230769230769226
Erling-Haaland,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Paco-Alcácer,17.5,1.0,0.0,0.0,10.0,7.0,15.0,7.0,8.0,5.0,0.0,0.0,0.0,56.0,8.0,32.0,20.0
Wissam-Ben-Yedder,38.1,3.0,0.0,0.0,34.0,32.0,38.0,50.0,10.0,20.0,0.0,0.0,0.0,188.0,34.0,93.0,26.77165354330709
Hirving-Lozano,6.0,1.0,0.0,0.0,9.0,24.0,7.0,15.0,6.0,5.0,0.0,0.0,0.0,31.0,2.0,5.0,28.57142857142857
Moise-Kean,6.8,2.0,0.0,0.0,11.0,6.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,30.0,5.0,5.0,50.0
Pablo-Sarabia,35.2,10.0,1.0,1.0,50.0,57.0,20.0,125.0,23.0,29.0,0.0,0.0,0.0,238.0,11.0,27.0,28.947368421052634
Maxi-Gómez,32.9,6.0,1.0,1.0,70.0,66.0,43.0,10.0,5.0,8.0,0.0,0.0,0.0,114.0,92.0,105.0,46.7005076142132
Raúl-Jiménez,34.6,4.0,0.0,0.0,41.0,39.0,33.0,39.0,22.0,17.0,1.0,0.0,0.0,194.0,49.0,73.0,40.16393442622951
Thorgan-Hazard,31.9,1.0,0.0,0.0,27.0,63.0,16.0,98.0,25.0,29.0,0.0,1.0,0.0,237.0,11.0,52.0,17.46031746031746
Steven-Bergwijn,4.4,1.0,0.0,0.0,6.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,25.0,1.0,3.0,25.0
Dani-Olmo,10.3,1.0,0.0,0.0,9.0,36.0,1.0,17.0,10.0,9.0,1.0,0.0,0.0,110.0,9.0,11.0,45.0
Gelson-Martins,18.9,1.0,0.0,0.0,17.0,34.0,3.0,51.0,6.0,24.0,0.0,0.0,0.0,145.0,8.0,25.0,24.242424242424242
Matteo-Politano,36.3,5.0,1.0,0.0,20.0,64.0,7.0,161.0,21.0,17.0,1.0,0.0,0.0,229.0,6.0,30.0,16.666666666666664
Stephan-El-Shaarawy,26.299999999999997,3.0,0.0,0.0,18.0,39.0,10.0,45.0,22.0,16.0,2.0,0.0,0.0,155.0,19.0,17.0,52.77777777777778
Patrick-Cutrone,19.8,2.0,0.0,0.0,29.0,24.0,17.0,21.0,8.0,13.0,0.0,0.0,0.0,74.0,15.0,50.0,23.076923076923077
Rony-Lopes,20.5,1.0,0.0,0.0,16.0,28.0,5.0,64.0,7.0,26.0,0.0,0.0,0.0,118.0,7.0,15.0,31.818181818181817
Danny-Ings,18.3,1.0,0.0,0.0,16.0,22.0,6.0,17.0,11.0,16.0,3.0,0.0,0.0,82.0,14.0,32.0,30.434782608695656
Kasper-Dolberg,3.3,1.0,0.0,0.0,10.0,16.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,3.0,4.0,42.857142857142854
Leandro-Trossard,5.8,0.0,0.0,0.0,3.0,12.0,4.0,14.0,8.0,6.0,0.0,0.0,0.0,37.0,2.0,6.0,25.0
Dodi-Lukebakio,21.9,6.0,0.0,0.0,30.0,50.0,14.0,41.0,6.0,15.0,1.0,1.0,0.0,112.0,14.0,16.0,46.666666666666664
Daniel-Podence,6.9,2.0,0.0,0.0,9.0,7.0,2.0,12.0,5.0,4.0,0.0,0.0,0.0,38.0,1.0,4.0,20.0
Salomón-Rondón,28.9,1.0,0.0,0.0,22.0,26.0,20.0,13.0,10.0,8.0,1.0,0.0,0.0,152.0,92.0,185.0,33.2129963898917
Andrea-Petagna,33.7,8.0,0.0,0.0,44.0,47.0,6.0,29.0,5.0,10.0,1.0,0.0,0.0,125.0,29.0,53.0,35.36585365853659
Quincy-Promes,26.0,4.0,0.0,0.0,31.0,25.0,11.0,79.0,21.0,26.0,2.0,0.0,0.0,201.0,25.0,22.0,53.191489361702125
Pedro-Neto,0.5,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Bas-Dost,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,14.0,6.0,70.0
Riccardo-Orsolini,21.8,2.0,0.0,0.0,24.0,53.0,15.0,72.0,14.0,22.0,0.0,0.0,0.0,153.0,39.0,43.0,47.5609756097561
Takumi-Minamino,4.4,0.0,0.0,0.0,7.0,5.0,6.0,1.0,2.0,10.0,0.0,0.0,0.0,39.0,3.0,5.0,37.5
Simone-Zaza,16.0,8.0,1.0,0.0,46.0,28.0,15.0,12.0,3.0,9.0,0.0,0.0,0.0,75.0,38.0,55.0,40.86021505376344
Ihlas-Bebou,11.8,1.0,0.0,0.0,11.0,21.0,5.0,27.0,8.0,15.0,0.0,0.0,0.0,94.0,12.0,16.0,42.857142857142854
Benito-Raman,18.7,1.0,0.0,0.0,27.0,19.0,1.0,36.0,16.0,22.0,0.0,1.0,0.0,145.0,3.0,9.0,25.0
Ivan-Cavaleiro,7.7,1.0,0.0,0.0,13.0,5.0,6.0,33.0,6.0,5.0,0.0,1.0,0.0,48.0,10.0,17.0,37.03703703703704
Gastón-Pereiro,4.3,0.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,33.0,1.0,2.0,33.33333333333333
Nicola-Sansone,15.6,6.0,1.0,1.0,33.0,31.0,5.0,32.0,5.0,20.0,1.0,0.0,0.0,89.0,10.0,22.0,31.25
Jordan-Ayew,13.1,3.0,0.0,0.0,32.0,25.0,9.0,10.0,7.0,28.0,0.0,0.0,0.0,58.0,28.0,67.0,29.47368421052631
Dawid-Kownacki,8.3,2.0,0.0,0.0,7.0,11.0,3.0,13.0,1.0,5.0,1.0,0.0,0.0,53.0,14.0,19.0,42.42424242424242
Denis-Cheryshev,22.4,2.0,0.0,0.0,47.0,21.0,13.0,98.0,22.0,39.0,0.0,0.0,0.0,164.0,29.0,37.0,43.93939393939394
Clinton-N'Jie,5.5,1.0,0.0,0.0,8.0,4.0,2.0,5.0,0.0,7.0,0.0,0.0,0.0,30.0,6.0,8.0,42.857142857142854
Denis-Bouanga,29.3,5.0,0.0,0.0,41.0,28.0,7.0,50.0,11.0,44.0,0.0,0.0,0.0,206.0,20.0,52.0,27.77777777777778
Ryad-Boudebouz,14.2,3.0,1.0,0.0,11.0,17.0,1.0,43.0,4.0,10.0,0.0,1.0,0.0,97.0,9.0,24.0,27.27272727272727
Ivan-Santini,4.0,2.0,0.0,0.0,10.0,9.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,10.0,33.33333333333333
Takashi-Inui,15.599999999999998,1.0,0.0,0.0,17.0,32.0,2.0,25.0,9.0,8.0,0.0,0.0,0.0,90.0,4.0,8.0,33.33333333333333
Stephen-Odey,7.2,0.0,0.0,0.0,13.0,10.0,5.0,1.0,4.0,4.0,0.0,0.0,0.0,36.0,7.0,20.0,25.925925925925924
Darwin-Machís,5.1,2.0,0.0,0.0,7.0,12.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,42.0,2.0,5.0,28.57142857142857
Sory-Kaba,2.6,0.0,0.0,0.0,12.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,13.0,9.0,59.09090909090909
Gaël-Kakuta,8.0,1.0,0.0,0.0,9.0,5.0,3.0,21.0,8.0,8.0,0.0,0.0,0.0,39.0,5.0,9.0,35.714285714285715
Casimir-Ninga,27.4,9.0,0.0,0.0,64.0,35.0,15.0,41.0,18.0,32.0,0.0,0.0,0.0,189.0,21.0,49.0,30.0
