,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In (CK),Out (CK),Str (CK),Ground (Height),Low (Height),High (Hight),Left Foot,Right Foot,Head,TI,Other Body Part,Cmp,Off,Out,Int,Blocks
Eden-Hazard,37.5,2304.0,2104.0,200.0,61.0,11.0,456.0,99.0,92.0,117.0,24.0,18.0,11.0,1736.0,235.0,333.0,302.0,1923.0,37.0,15.0,16.0,1845.0,9.0,22.0,55.0,80.0
Julian-Brandt,34.1,2193.0,1994.0,199.0,65.0,17.0,383.0,77.0,73.0,110.0,15.0,9.0,3.0,1581.0,275.0,337.0,367.0,1705.0,62.0,22.0,19.0,1686.0,6.0,34.0,70.0,65.0
Erling-Haaland,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco-Alcácer,17.5,368.0,334.0,34.0,0.0,2.0,60.0,0.0,7.0,0.0,0.0,0.0,0.0,253.0,63.0,52.0,59.0,282.0,19.0,1.0,1.0,278.0,2.0,4.0,8.0,9.0
Wissam-Ben-Yedder,38.1,997.0,946.0,51.0,3.0,6.0,233.0,14.0,50.0,0.0,0.0,0.0,0.0,678.0,196.0,123.0,475.0,415.0,60.0,11.0,12.0,737.0,6.0,30.0,25.0,42.0
Hirving-Lozano,6.0,141.0,106.0,35.0,17.0,0.0,30.0,7.0,15.0,13.0,0.0,0.0,0.0,78.0,16.0,47.0,9.0,119.0,7.0,3.0,1.0,89.0,1.0,4.0,5.0,7.0
Moise-Kean,6.8,99.0,96.0,3.0,0.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,73.0,14.0,12.0,14.0,74.0,3.0,0.0,3.0,80.0,0.0,0.0,4.0,4.0
Pablo-Sarabia,35.2,1691.0,1477.0,214.0,48.0,6.0,346.0,73.0,125.0,110.0,18.0,12.0,6.0,1115.0,253.0,323.0,1283.0,307.0,28.0,54.0,11.0,1241.0,7.0,36.0,51.0,76.0
Maxi-Gómez,32.9,705.0,628.0,77.0,1.0,5.0,179.0,19.0,10.0,0.0,0.0,0.0,0.0,386.0,166.0,153.0,44.0,503.0,73.0,3.0,15.0,516.0,4.0,13.0,22.0,28.0
Raúl-Jiménez,34.6,1072.0,1027.0,45.0,3.0,5.0,300.0,34.0,39.0,0.0,0.0,0.0,0.0,678.0,213.0,181.0,80.0,868.0,69.0,5.0,22.0,789.0,3.0,16.0,44.0,42.0
Thorgan-Hazard,31.9,1394.0,1200.0,194.0,37.0,5.0,269.0,77.0,98.0,103.0,8.0,7.0,4.0,896.0,199.0,299.0,219.0,1047.0,62.0,54.0,2.0,980.0,9.0,25.0,46.0,53.0
Steven-Bergwijn,4.4,100.0,96.0,4.0,0.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,69.0,16.0,15.0,6.0,82.0,10.0,0.0,1.0,81.0,0.0,1.0,4.0,4.0
Dani-Olmo,10.3,338.0,310.0,28.0,14.0,2.0,68.0,13.0,17.0,10.0,3.0,0.0,1.0,200.0,53.0,85.0,57.0,251.0,17.0,3.0,2.0,223.0,4.0,14.0,4.0,24.0
Gelson-Martins,18.9,628.0,619.0,9.0,1.0,2.0,152.0,12.0,51.0,0.0,0.0,0.0,0.0,446.0,98.0,84.0,49.0,538.0,25.0,7.0,2.0,466.0,2.0,6.0,13.0,45.0
Matteo-Politano,36.3,1817.0,1584.0,233.0,48.0,6.0,330.0,84.0,161.0,121.0,10.0,5.0,5.0,1130.0,238.0,449.0,1467.0,241.0,36.0,62.0,5.0,1299.0,8.0,39.0,52.0,78.0
Stephan-El-Shaarawy,26.299999999999997,951.0,928.0,23.0,3.0,8.0,255.0,26.0,45.0,2.0,0.0,0.0,0.0,655.0,164.0,132.0,75.0,816.0,26.0,18.0,2.0,765.0,2.0,12.0,21.0,29.0
Patrick-Cutrone,19.8,405.0,377.0,28.0,0.0,3.0,75.0,7.0,21.0,0.0,0.0,0.0,0.0,297.0,61.0,47.0,59.0,308.0,18.0,5.0,9.0,298.0,1.0,14.0,9.0,24.0
Rony-Lopes,20.5,686.0,561.0,125.0,34.0,3.0,155.0,53.0,64.0,77.0,23.0,18.0,8.0,410.0,100.0,176.0,532.0,118.0,15.0,12.0,4.0,453.0,5.0,15.0,15.0,48.0
Danny-Ings,18.3,417.0,404.0,13.0,0.0,8.0,105.0,9.0,17.0,0.0,0.0,0.0,0.0,268.0,67.0,82.0,54.0,332.0,18.0,0.0,4.0,287.0,2.0,13.0,14.0,21.0
Kasper-Dolberg,3.3,49.0,49.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,16.0,5.0,4.0,36.0,2.0,0.0,4.0,35.0,1.0,2.0,2.0,1.0
Leandro-Trossard,5.8,228.0,215.0,13.0,5.0,3.0,50.0,11.0,14.0,2.0,0.0,0.0,0.0,148.0,33.0,47.0,66.0,153.0,2.0,6.0,0.0,159.0,1.0,8.0,12.0,10.0
Dodi-Lukebakio,21.9,595.0,564.0,31.0,6.0,1.0,139.0,23.0,41.0,5.0,0.0,0.0,0.0,422.0,68.0,105.0,428.0,125.0,26.0,2.0,1.0,444.0,1.0,17.0,12.0,22.0
Daniel-Podence,6.9,248.0,238.0,10.0,4.0,3.0,40.0,4.0,12.0,1.0,0.0,0.0,0.0,191.0,31.0,26.0,21.0,216.0,5.0,5.0,0.0,195.0,2.0,4.0,2.0,11.0
Salomón-Rondón,28.9,772.0,743.0,29.0,0.0,2.0,259.0,5.0,13.0,0.0,0.0,0.0,0.0,410.0,198.0,164.0,93.0,472.0,106.0,2.0,22.0,538.0,4.0,9.0,20.0,31.0
Andrea-Petagna,33.7,778.0,739.0,39.0,6.0,0.0,218.0,34.0,29.0,3.0,0.0,0.0,0.0,518.0,146.0,114.0,479.0,208.0,53.0,10.0,9.0,590.0,2.0,26.0,18.0,36.0
Quincy-Promes,26.0,1291.0,1122.0,169.0,6.0,2.0,262.0,23.0,79.0,13.0,1.0,1.0,0.0,850.0,219.0,222.0,169.0,917.0,43.0,146.0,1.0,1015.0,5.0,24.0,28.0,41.0
Pedro-Neto,0.5,25.0,23.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,19.0,6.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0
Bas-Dost,3.0,89.0,83.0,6.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,15.0,27.0,13.0,47.0,15.0,0.0,0.0,52.0,0.0,5.0,2.0,1.0
Riccardo-Orsolini,21.8,764.0,673.0,91.0,27.0,1.0,173.0,44.0,72.0,52.0,22.0,3.0,2.0,419.0,127.0,218.0,595.0,91.0,36.0,8.0,3.0,467.0,5.0,26.0,17.0,41.0
Takumi-Minamino,4.4,151.0,143.0,8.0,1.0,0.0,34.0,2.0,1.0,4.0,0.0,0.0,0.0,121.0,12.0,18.0,39.0,102.0,6.0,1.0,1.0,112.0,0.0,2.0,3.0,6.0
Simone-Zaza,16.0,287.0,275.0,12.0,0.0,0.0,73.0,5.0,12.0,0.0,0.0,0.0,0.0,174.0,69.0,44.0,181.0,34.0,30.0,0.0,18.0,186.0,2.0,8.0,11.0,12.0
Ihlas-Bebou,11.8,442.0,398.0,44.0,1.0,4.0,74.0,14.0,27.0,6.0,0.0,0.0,0.0,271.0,87.0,84.0,33.0,336.0,23.0,36.0,3.0,295.0,3.0,12.0,17.0,20.0
Benito-Raman,18.7,481.0,460.0,21.0,1.0,2.0,78.0,26.0,36.0,2.0,0.0,0.0,0.0,300.0,85.0,96.0,71.0,352.0,35.0,14.0,6.0,320.0,4.0,12.0,13.0,29.0
Ivan-Cavaleiro,7.7,356.0,332.0,24.0,1.0,1.0,113.0,10.0,33.0,17.0,1.0,1.0,0.0,227.0,48.0,81.0,64.0,261.0,14.0,6.0,1.0,252.0,2.0,9.0,8.0,18.0
Gastón-Pereiro,4.3,125.0,100.0,25.0,14.0,0.0,20.0,5.0,8.0,6.0,0.0,0.0,0.0,74.0,14.0,37.0,98.0,18.0,7.0,0.0,1.0,84.0,2.0,4.0,2.0,1.0
Nicola-Sansone,15.6,475.0,455.0,20.0,6.0,5.0,99.0,10.0,32.0,11.0,2.0,0.0,0.0,345.0,56.0,74.0,75.0,376.0,13.0,2.0,2.0,347.0,2.0,9.0,11.0,21.0
Jordan-Ayew,13.1,273.0,262.0,11.0,0.0,0.0,66.0,0.0,10.0,0.0,0.0,0.0,0.0,195.0,36.0,42.0,24.0,214.0,8.0,1.0,6.0,201.0,2.0,2.0,5.0,19.0
Dawid-Kownacki,8.3,236.0,226.0,10.0,1.0,2.0,46.0,6.0,13.0,1.0,0.0,0.0,0.0,151.0,55.0,30.0,45.0,156.0,15.0,5.0,4.0,173.0,0.0,4.0,7.0,7.0
Denis-Cheryshev,22.4,877.0,855.0,22.0,4.0,2.0,175.0,25.0,98.0,1.0,0.0,0.0,0.0,529.0,158.0,190.0,646.0,131.0,57.0,14.0,3.0,579.0,1.0,36.0,23.0,59.0
Clinton-N'Jie,5.5,162.0,153.0,9.0,0.0,0.0,39.0,3.0,5.0,0.0,0.0,0.0,0.0,123.0,30.0,9.0,15.0,133.0,5.0,3.0,1.0,113.0,0.0,1.0,5.0,10.0
Denis-Bouanga,29.3,678.0,655.0,23.0,2.0,3.0,151.0,21.0,50.0,1.0,0.0,0.0,0.0,452.0,108.0,118.0,97.0,511.0,39.0,13.0,2.0,456.0,1.0,20.0,21.0,24.0
Ryad-Boudebouz,14.2,753.0,703.0,50.0,19.0,5.0,148.0,23.0,43.0,26.0,6.0,7.0,3.0,524.0,102.0,127.0,594.0,124.0,20.0,5.0,2.0,594.0,5.0,11.0,18.0,20.0
Ivan-Santini,4.0,83.0,79.0,4.0,0.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,51.0,12.0,20.0,14.0,48.0,15.0,0.0,1.0,55.0,0.0,4.0,4.0,3.0
Takashi-Inui,15.599999999999998,489.0,455.0,34.0,5.0,2.0,107.0,8.0,25.0,6.0,1.0,1.0,0.0,373.0,68.0,48.0,44.0,415.0,12.0,13.0,3.0,386.0,0.0,10.0,11.0,20.0
Stephen-Odey,7.2,156.0,150.0,6.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,40.0,16.0,29.0,94.0,17.0,1.0,10.0,115.0,1.0,3.0,4.0,6.0
Darwin-Machís,5.1,179.0,162.0,17.0,0.0,0.0,31.0,3.0,20.0,4.0,0.0,0.0,0.0,117.0,26.0,36.0,27.0,131.0,5.0,12.0,2.0,129.0,0.0,2.0,3.0,4.0
Sory-Kaba,2.6,72.0,69.0,3.0,0.0,1.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,17.0,4.0,46.0,8.0,0.0,2.0,51.0,1.0,2.0,0.0,4.0
Gaël-Kakuta,8.0,280.0,257.0,23.0,8.0,1.0,46.0,10.0,21.0,8.0,0.0,0.0,0.0,192.0,37.0,51.0,232.0,27.0,9.0,6.0,1.0,189.0,0.0,10.0,4.0,9.0
Casimir-Ninga,27.4,574.0,549.0,25.0,0.0,2.0,167.0,22.0,41.0,2.0,0.0,0.0,0.0,374.0,95.0,105.0,62.0,442.0,27.0,19.0,7.0,422.0,0.0,24.0,11.0,23.0
