,90s,Cmp (Total),Att (Total),Cmp% (Total),TotDist,PrgDist,Cmp (Short),Att (Short),Cmp% (Short),Cmp (Medium),Att (Medium),Cmp% (Medium),Cmp (Long),Att (Long),Cmp% (Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Eden-Hazard,37.5,1845.0,2304.0,80.078125,32099.0,8735.0,958.0,1111.0,86.22862286228623,615.0,739.0,83.22056833558862,237.0,361.0,65.65096952908587,17.0,11.600000000000001,5.4,115.0,143.0,125.0,12.0,263.0
Julian-Brandt,34.1,1686.0,2193.0,76.88098495212039,29168.0,8239.0,857.0,1001.0,85.61438561438561,585.0,713.0,82.0476858345021,208.0,380.0,54.736842105263165,12.0,9.6,2.4,92.0,130.0,71.0,9.0,211.0
Erling-Haaland,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco-Alcácer,17.5,278.0,368.0,75.54347826086956,3514.0,647.0,189.0,240.0,78.75,65.0,87.0,74.71264367816092,13.0,23.0,56.52173913043478,1.0,3.2,-2.2,24.0,13.0,12.0,0.0,24.0
Wissam-Ben-Yedder,38.1,737.0,997.0,73.92176529588767,10318.0,2226.0,468.0,570.0,82.10526315789474,204.0,287.0,71.0801393728223,41.0,78.0,52.56410256410257,9.0,7.5,1.5,46.0,54.0,33.0,6.0,68.0
Hirving-Lozano,6.0,89.0,141.0,63.12056737588653,1572.0,443.0,42.0,58.0,72.41379310344827,31.0,45.0,68.88888888888889,14.0,33.0,42.42424242424242,1.0,1.1,-0.1,15.0,2.0,9.0,2.0,11.0
Moise-Kean,6.8,80.0,99.0,80.8080808080808,1199.0,106.0,49.0,60.0,81.66666666666667,24.0,28.0,85.71428571428571,6.0,7.0,85.71428571428571,0.0,0.2,-0.2,3.0,0.0,1.0,0.0,3.0
Pablo-Sarabia,35.2,1241.0,1691.0,73.38852749852158,21102.0,7063.0,650.0,771.0,84.30609597924773,444.0,555.0,80.0,127.0,287.0,44.25087108013937,15.0,11.2,3.8,79.0,102.0,85.0,24.0,164.0
Maxi-Gómez,32.9,516.0,705.0,73.19148936170212,8530.0,1430.0,270.0,350.0,77.14285714285715,172.0,222.0,77.47747747747748,54.0,83.0,65.06024096385542,5.0,3.0,2.0,27.0,40.0,15.0,2.0,49.0
Raúl-Jiménez,34.6,789.0,1072.0,73.6007462686567,12606.0,2289.0,437.0,541.0,80.77634011090574,254.0,342.0,74.26900584795322,78.0,125.0,62.4,7.0,7.2,-0.2,42.0,44.0,39.0,5.0,76.0
Thorgan-Hazard,31.9,980.0,1394.0,70.3012912482066,18251.0,6248.0,446.0,552.0,80.79710144927536,377.0,497.0,75.85513078470825,141.0,289.0,48.78892733564014,11.0,8.9,2.1,68.0,76.0,61.0,13.0,155.0
Steven-Bergwijn,4.4,81.0,100.0,81.0,1221.0,284.0,45.0,49.0,91.83673469387756,30.0,34.0,88.23529411764706,5.0,11.0,45.45454545454545,1.0,1.0,0.0,7.0,7.0,6.0,0.0,15.0
Dani-Olmo,10.3,223.0,338.0,65.97633136094674,3797.0,1336.0,114.0,145.0,78.62068965517241,76.0,106.0,71.69811320754717,27.0,62.0,43.54838709677419,2.0,2.0,0.0,16.0,21.0,9.0,3.0,26.0
Gelson-Martins,18.9,466.0,628.0,74.20382165605095,6924.0,2039.0,283.0,347.0,81.55619596541787,150.0,197.0,76.14213197969542,24.0,49.0,48.97959183673469,2.0,2.0,0.0,19.0,34.0,27.0,10.0,62.0
Matteo-Politano,36.3,1299.0,1817.0,71.49146945514585,23979.0,7608.0,580.0,717.0,80.8926080892608,528.0,679.0,77.76141384388808,169.0,340.0,49.705882352941174,7.0,8.7,-1.7000000000000002,86.0,86.0,80.0,26.0,168.0
Stephan-El-Shaarawy,26.299999999999997,765.0,951.0,80.4416403785489,13144.0,2979.0,391.0,457.0,85.55798687089715,287.0,344.0,83.43023255813954,76.0,116.0,65.51724137931035,4.0,5.8,-1.8000000000000003,42.0,38.0,45.0,8.0,88.0
Patrick-Cutrone,19.8,298.0,405.0,73.58024691358025,4081.0,666.0,205.0,251.0,81.67330677290838,73.0,106.0,68.86792452830188,14.0,23.0,60.86956521739131,2.0,3.0,-1.0,27.0,15.0,4.0,0.0,17.0
Rony-Lopes,20.5,453.0,686.0,66.03498542274052,7889.0,2742.0,230.0,280.0,82.14285714285714,157.0,226.0,69.46902654867256,57.0,142.0,40.140845070422536,2.0,4.1,-2.1,46.0,23.0,26.0,10.0,57.0
Danny-Ings,18.3,287.0,417.0,68.82494004796163,4558.0,1194.0,153.0,209.0,73.20574162679426,95.0,127.0,74.80314960629921,26.0,56.0,46.42857142857143,3.0,2.5,0.5,25.0,32.0,16.0,2.0,40.0
Kasper-Dolberg,3.3,35.0,49.0,71.42857142857143,451.0,36.0,26.0,32.0,81.25,5.0,11.0,45.45454545454545,2.0,4.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Leandro-Trossard,5.8,159.0,228.0,69.73684210526315,3245.0,1012.0,68.0,86.0,79.06976744186046,55.0,83.0,66.26506024096386,35.0,46.0,76.08695652173914,1.0,1.4,-0.4,9.0,13.0,16.0,2.0,28.0
Dodi-Lukebakio,21.9,444.0,595.0,74.6218487394958,7801.0,1339.0,207.0,249.0,83.13253012048193,175.0,224.0,78.125,50.0,91.0,54.94505494505495,3.0,2.3,0.7,22.0,20.0,21.0,9.0,36.0
Daniel-Podence,6.9,195.0,248.0,78.62903225806451,3031.0,922.0,114.0,134.0,85.07462686567165,61.0,81.0,75.30864197530865,16.0,19.0,84.21052631578947,1.0,1.3,-0.3,11.0,7.0,16.0,2.0,30.0
Salomón-Rondón,28.9,538.0,772.0,69.68911917098445,7637.0,1552.0,337.0,442.0,76.2443438914027,153.0,229.0,66.8122270742358,27.0,48.0,56.25,7.0,3.3,3.7,30.0,42.0,22.0,3.0,52.0
