,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Eden-Hazard,45.0,3375.0,75.0,78.4421037037037,37.5,36.0,86.66666666666667,25.0,9.0,101.77777777777777,3.0,4.61,64.0,41.0,23.0,0.6213333333333334,58.800000000000004,35.4,23.3,1.3399999999999999
Julian-Brandt,40.0,3075.0,76.875,83.06985365853659,34.1,35.0,83.71428571428571,23.0,5.0,226.0,1.0,3.67,73.0,51.0,22.0,0.560117302052786,62.1,43.0,19.1,0.8999999999999999
Erling-Haaland,1.0,5.0,5.0,0.6,0.1,0.0,0.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,1.0,5.0,0.5,0.0,0.5,8.59
Paco-Alcácer,31.0,1567.0,50.54838709677419,41.82641991065731,17.5,15.0,80.13333333333334,6.0,16.0,18.5625,2.0,3.75,46.0,23.0,23.0,0.9142857142857143,31.0,15.1,16.0,1.72
Wissam-Ben-Yedder,43.0,3431.0,79.79069767441861,79.38554357330224,38.1,38.0,86.0,25.0,5.0,242.8,3.0,3.7199999999999998,72.0,41.0,31.0,0.7401574803149605,67.9,39.699999999999996,28.2,1.5
Hirving-Lozano,6.0,539.0,89.83333333333333,99.8,6.0,6.0,90.0,5.0,0.0,0.0,0.0,1.0,6.0,13.0,-7.0,-0.9,7.3,12.7,-5.4,-0.9
Moise-Kean,16.0,610.0,38.125,14.88377049180328,6.8,5.0,85.0,3.0,11.0,6.818181818181818,23.0,3.85,12.0,6.0,6.0,0.8235294117647058,11.0,5.5,5.6,2.04
Pablo-Sarabia,41.0,3168.0,77.26829268292683,75.12916666666668,35.2,35.0,85.85714285714286,25.0,6.0,183.33333333333334,1.0,3.96,67.0,42.0,25.0,0.6903409090909091,63.900000000000006,39.599999999999994,24.3,1.4
Maxi-Gómez,35.0,2960.0,84.57142857142857,86.5,32.9,33.0,87.0,28.0,2.0,37.0,0.0,1.09,47.0,51.0,-4.0,-0.3252279635258359,38.2,48.9,-10.7,-0.33
Raúl-Jiménez,38.0,3111.0,81.86842105263158,91.0,34.6,36.0,85.0,20.0,2.0,31.0,0.0,1.5,44.0,40.0,4.0,0.29479768786127164,44.8,34.7,10.2,0.29
Thorgan-Hazard,33.0,2873.0,87.06060606060606,93.9,31.9,33.0,87.0,28.0,0.0,0.0,0.0,1.58,51.0,42.0,9.0,-0.015673981191222573,47.5,48.0,-0.5,-0.01
Steven-Bergwijn,5.0,400.0,80.0,74.1,4.4,5.0,80.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,-5.0,-0.9772727272727272,5.2,9.4,-4.3,-0.96
Dani-Olmo,10.0,923.0,92.3,99.2,10.3,10.0,92.0,8.0,0.0,0.0,0.0,2.0,16.0,8.0,8.0,0.47572815533980584,12.4,7.5,4.9,0.53
