,90s,Touches,Def Pen (Touches),Def 3rd (Touches),Mid 3rd (Touches),Att 3rd (Touches),Att Pen (Touches),Live (Touches),Succ (Dribbles),Att (Dribbles),Succ% (Dribbles),#Pl (Dribbles),Nutmegs,Carries,TotDist (Carries),PrgDist (Carries),Prog (Carries),Fin 1/3 (Carries),PA (Carries),Mis (Carries),Dis (Carries),Target of pass,Rec,Rec%,Prog
Eden-Hazard,37.5,2837.0,9.0,152.0,1081.0,1912.0,304.0,2658.0,162.0,244.0,66.39344262295081,173.0,8.0,2570.0,17060.0,10214.0,604.0,181.0,115.0,102.0,97.0,2937.0,2379.0,81.00102145045966,490.0
Julian-Brandt,34.1,2619.0,14.0,330.0,1260.0,1234.0,172.0,2423.0,74.0,121.0,61.15702479338842,79.0,4.0,1934.0,10464.0,5273.0,281.0,102.0,42.0,85.0,65.0,2391.0,1987.0,83.10330405687996,364.0
Erling-Haaland,0.1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,1.0
Paco-Alcácer,17.5,527.0,8.0,22.0,206.0,311.0,93.0,487.0,8.0,13.0,61.53846153846154,10.0,0.0,339.0,805.0,348.0,23.0,2.0,6.0,36.0,19.0,630.0,389.0,61.74603174603175,160.0
Wissam-Ben-Yedder,38.1,1386.0,12.0,76.0,598.0,818.0,274.0,1335.0,56.0,93.0,60.215053763440864,61.0,2.0,1040.0,5004.0,3120.0,182.0,65.0,37.0,88.0,61.0,1823.0,1040.0,57.04882062534284,403.0
Hirving-Lozano,6.0,227.0,4.0,26.0,88.0,142.0,26.0,194.0,13.0,17.0,76.47058823529412,13.0,1.0,167.0,1369.0,866.0,41.0,13.0,10.0,13.0,9.0,251.0,133.0,52.98804780876494,34.0
Moise-Kean,6.8,201.0,2.0,20.0,74.0,124.0,47.0,198.0,9.0,29.0,31.03448275862069,10.0,1.0,156.0,759.0,346.0,17.0,3.0,9.0,19.0,17.0,310.0,152.0,49.03225806451613,71.0
Pablo-Sarabia,35.2,2107.0,17.0,235.0,880.0,1137.0,201.0,1894.0,39.0,78.0,50.0,43.0,2.0,1534.0,7274.0,4332.0,257.0,81.0,32.0,60.0,49.0,1947.0,1495.0,76.78479712378018,336.0
Maxi-Gómez,32.9,1064.0,42.0,83.0,587.0,449.0,138.0,981.0,17.0,37.0,45.94594594594595,20.0,1.0,642.0,2569.0,1175.0,68.0,23.0,10.0,86.0,40.0,1521.0,774.0,50.887573964497044,258.0
Raúl-Jiménez,34.6,1535.0,43.0,157.0,785.0,688.0,192.0,1490.0,36.0,63.0,57.14285714285714,37.0,1.0,1133.0,5081.0,2509.0,145.0,44.0,32.0,78.0,77.0,1836.0,1133.0,61.710239651416124,398.0
