,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Eden-Hazard,37.5,18.0,97.0,42.0,43.29896907216495,2.5866666666666664,1.12,0.18556701030927836,0.42857142857142855,35.599999999999994,2.0,6.0,6.0,13.3,8.8,0.0907216494845361,4.7,4.2
Julian-Brandt,34.1,8.0,80.0,29.0,36.25,2.3460410557184748,0.8504398826979471,0.1,0.27586206896551724,38.2,3.0,0.0,0.0,8.9,8.9,0.11125,-0.9,-0.9
Erling-Haaland,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Paco-Alcácer,17.5,19.0,58.0,30.0,51.724137931034484,3.3142857142857145,1.7142857142857142,0.3275862068965517,0.6333333333333333,34.3,6.0,1.0,2.0,11.299999999999999,9.700000000000001,0.16724137931034486,7.700000000000001,8.299999999999999
Wissam-Ben-Yedder,38.1,26.0,90.0,45.0,50.0,2.3622047244094486,1.1811023622047243,0.28888888888888886,0.5777777777777777,23.7,0.0,3.0,3.0,23.1,20.7,0.22999999999999998,2.9,2.3
Hirving-Lozano,6.0,2.0,17.0,5.0,29.411764705882355,2.8333333333333335,0.8333333333333334,0.11764705882352941,0.4,18.4,1.0,0.0,0.0,1.9,1.9,0.11176470588235293,0.1,0.1
Moise-Kean,6.8,6.0,25.0,10.0,40.0,3.6764705882352944,1.4705882352941178,0.24,0.6,28.7,0.0,0.0,0.0,4.2,4.2,0.168,1.8,1.8
Pablo-Sarabia,35.2,15.0,85.0,37.0,43.529411764705884,2.414772727272727,1.0511363636363635,0.17647058823529413,0.40540540540540543,35.8,3.0,2.0,2.0,12.5,10.9,0.12823529411764706,2.5,2.1
Maxi-Gómez,32.9,13.0,81.0,28.0,34.5679012345679,2.462006079027356,0.851063829787234,0.16049382716049382,0.4642857142857143,15.7,7.0,1.0,1.0,11.0,10.3,0.1271604938271605,2.0,1.7
Raúl-Jiménez,34.6,13.0,113.0,32.0,28.31858407079646,3.265895953757225,0.9248554913294798,0.11504424778761062,0.40625,14.0,0.0,2.0,2.0,14.1,12.6,0.11150442477876106,-1.1,-1.6
