,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
Eden-Hazard,45.0,36.0,3375.0,37.5,18.0,17.0,12.0,6.0,6.0,2.0,0.0,0.48,0.4533333333333333,0.9333333333333333,0.32,0.7733333333333333,13.3,8.8,11.600000000000001,20.400000000000002,0.3546666666666667,0.30933333333333335,0.664,0.2346666666666667,0.544
Julian-Brandt,40.0,35.0,3075.0,34.1,8.0,12.0,8.0,0.0,0.0,0.0,0.0,0.2346041055718475,0.3519061583577712,0.5865102639296187,0.2346041055718475,0.5865102639296187,8.9,8.9,9.6,18.5,0.26099706744868034,0.281524926686217,0.5425219941348973,0.26099706744868034,0.5425219941348973
Erling-Haaland,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco-Alcácer,31.0,15.0,1567.0,17.5,19.0,1.0,18.0,1.0,2.0,1.0,0.0,1.0857142857142856,0.05714285714285714,1.1428571428571428,1.0285714285714285,1.0857142857142856,11.299999999999999,9.700000000000001,3.2,12.9,0.6457142857142857,0.18285714285714286,0.8285714285714285,0.5542857142857144,0.7371428571428572
Wissam-Ben-Yedder,43.0,38.0,3431.0,38.1,26.0,9.0,23.0,3.0,3.0,3.0,0.0,0.6824146981627296,0.23622047244094488,0.9186351706036745,0.6036745406824147,0.8398950131233596,23.1,20.7,7.5,28.4,0.6062992125984252,0.19685039370078738,0.8031496062992126,0.5433070866141732,0.7454068241469816
Hirving-Lozano,6.0,6.0,539.0,6.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5,1.9,1.9,1.1,3.0,0.31666666666666665,0.18333333333333335,0.5,0.31666666666666665,0.5
Moise-Kean,16.0,5.0,610.0,6.8,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.8823529411764706,0.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,4.2,4.2,0.2,4.4,0.6176470588235294,0.029411764705882356,0.6470588235294118,0.6176470588235294,0.6470588235294118
Pablo-Sarabia,41.0,35.0,3168.0,35.2,15.0,15.0,13.0,2.0,2.0,10.0,1.0,0.4261363636363636,0.4261363636363636,0.8522727272727272,0.36931818181818177,0.7954545454545454,12.5,10.9,11.2,22.2,0.35511363636363635,0.3181818181818181,0.6732954545454545,0.3096590909090909,0.6306818181818181
Maxi-Gómez,35.0,33.0,2960.0,32.9,13.0,5.0,12.0,1.0,1.0,6.0,1.0,0.3951367781155015,0.1519756838905775,0.547112462006079,0.364741641337386,0.5167173252279635,11.0,10.3,3.0,13.3,0.3343465045592705,0.0911854103343465,0.425531914893617,0.3130699088145897,0.4042553191489362
Raúl-Jiménez,38.0,36.0,3111.0,34.6,13.0,7.0,11.0,2.0,2.0,4.0,0.0,0.37572254335260113,0.20231213872832368,0.5780346820809248,0.3179190751445087,0.5202312138728323,14.1,12.6,7.2,19.8,0.407514450867052,0.20809248554913296,0.6156069364161849,0.36416184971098264,0.5722543352601156
