,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save% (Penalties)
Jasper-Cillessen,11.0,11.0,990.0,11.0,13.0,1.1818181818181819,44.0,33.0,75.0,5.0,2.0,4.0,3.0,27.27272727272727,2.0,1.0,1.0,0.0,50.0
Alex-Meret,20.0,19.0,1690.0,18.8,16.0,0.851063829787234,71.0,59.0,83.09859154929578,12.0,1.0,6.0,7.0,35.0,3.0,3.0,0.0,0.0,0.0
Pau-López,35.0,35.0,3150.0,35.0,49.0,1.4,141.0,95.0,67.37588652482269,13.0,8.0,14.0,10.0,28.57142857142857,4.0,3.0,1.0,0.0,25.0
Emil-Audero,36.0,36.0,3240.0,36.0,51.0,1.4166666666666667,142.0,98.0,69.01408450704226,14.0,7.0,15.0,11.0,30.555555555555557,8.0,7.0,1.0,0.0,12.5
Benjamin-Lecomte,38.0,38.0,3420.0,38.0,43.0,1.131578947368421,137.0,100.0,72.99270072992701,15.0,13.0,10.0,11.0,28.947368421052634,5.0,3.0,1.0,1.0,20.0
Keylor-Navas,21.0,21.0,1920.0,21.3,21.0,0.9859154929577465,68.0,49.0,72.05882352941177,12.0,3.0,6.0,7.0,33.33333333333333,2.0,2.0,0.0,0.0,0.0
Kevin-Trapp,45.0,45.0,4048.0,44.900000000000006,61.0,1.3585746102449887,210.0,153.0,72.85714285714285,21.0,12.0,12.0,12.0,26.666666666666668,5.0,4.0,1.0,0.0,20.0
Tom-Heaton,20.0,20.0,1800.0,20.0,29.0,1.45,86.0,61.0,70.93023255813954,8.0,4.0,8.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0
Ron-Robert-Zieler,35.0,35.0,3150.0,35.0,72.0,2.057142857142857,181.0,115.0,63.53591160220995,7.0,7.0,21.0,6.0,17.142857142857142,3.0,2.0,0.0,1.0,0.0
David-Ospina,23.0,22.0,1997.0,22.2,25.0,1.1261261261261262,84.0,61.0,72.61904761904762,11.0,7.0,4.0,7.0,30.434782608695656,1.0,1.0,0.0,0.0,0.0
Brice-Samba,38.0,38.0,3420.0,38.0,54.0,1.4210526315789473,182.0,134.0,73.62637362637363,7.0,12.0,19.0,9.0,23.684210526315788,8.0,6.0,2.0,0.0,25.0
Alfred-Gomis,20.0,19.0,1723.0,19.1,27.0,1.413612565445026,76.0,50.0,65.78947368421053,3.0,6.0,10.0,6.0,30.0,1.0,1.0,0.0,0.0,0.0
