,90s,SCA,SCA90,PassLive (SCA),PassDead (SCA),Drib (SCA),Sh (SCA),Fld (SCA),Def (SCA),GCA,GCA90,PassLive (GCA),PassDead (GCA),Drib (GCA),Sh (GCA),Fld (GCA),Def (GCA)
Bruno-Fernandes,7.8,31.0,3.9743589743589745,18.0,7.0,3.0,1.0,1.0,1.0,6.0,0.7692307692307693,3.0,1.0,1.0,1.0,0.0,0.0
Giovani-Lo-Celso,33.0,107.0,3.242424242424242,78.0,2.0,6.0,6.0,13.0,2.0,18.0,0.5454545454545454,13.0,0.0,2.0,1.0,2.0,0.0
Youri-Tielemans,36.8,95.0,2.581521739130435,69.0,9.0,4.0,5.0,5.0,3.0,8.0,0.2173913043478261,8.0,0.0,0.0,0.0,0.0,0.0
Kerem-Demirbay,26.5,151.0,5.69811320754717,88.0,44.0,7.0,7.0,1.0,4.0,14.0,0.5283018867924528,9.0,3.0,1.0,1.0,0.0,0.0
Dennis-Praet,32.1,80.0,2.4922118380062304,62.0,6.0,2.0,2.0,6.0,2.0,4.0,0.12461059190031153,4.0,0.0,0.0,0.0,0.0,0.0
Sander-Berge,4.3,12.0,2.7906976744186047,8.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46511627906976744,2.0,0.0,0.0,0.0,0.0,0.0
Amadou-Diawara,9.1,22.0,2.417582417582418,19.0,0.0,2.0,1.0,0.0,0.0,1.0,0.10989010989010989,1.0,0.0,0.0,0.0,0.0,0.0
Stanislav-Lobotka,27.7,49.0,1.7689530685920578,43.0,0.0,2.0,2.0,2.0,0.0,5.0,0.18050541516245489,4.0,0.0,0.0,1.0,0.0,0.0
Grzegorz-Krychowiak,6.0,13.0,2.1666666666666665,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nadiem-Amiri,8.700000000000001,30.0,3.4482758620689653,23.0,2.0,3.0,1.0,1.0,0.0,2.0,0.22988505747126434,1.0,0.0,0.0,0.0,1.0,0.0
Stefano-Sturaro,2.4,9.0,3.75,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismaël-Bennacer,32.9,65.0,1.9756838905775076,47.0,14.0,0.0,0.0,3.0,1.0,10.0,0.303951367781155,8.0,2.0,0.0,0.0,0.0,0.0
Moussa-Djenepo,4.1,12.0,2.9268292682926833,7.0,0.0,3.0,0.0,2.0,0.0,1.0,0.24390243902439027,1.0,0.0,0.0,0.0,0.0,0.0
Denis-Suárez,1.6,6.0,3.75,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvelous-Nakamba,4.4,2.0,0.45454545454545453,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan-Amrabat,3.2,1.0,0.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibril-Sow,5.6,14.0,2.5,11.0,0.0,0.0,0.0,2.0,1.0,1.0,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0
Santiago-Ascacíbar,27.0,36.0,1.3333333333333333,31.0,0.0,0.0,5.0,0.0,0.0,3.0,0.1111111111111111,2.0,0.0,0.0,1.0,0.0,0.0
Roberto-Soriano,21.7,64.0,2.9493087557603688,46.0,1.0,4.0,4.0,5.0,4.0,9.0,0.4147465437788019,6.0,0.0,1.0,0.0,1.0,1.0
Lukas-Lerager,30.8,53.0,1.7207792207792207,47.0,0.0,1.0,0.0,3.0,2.0,3.0,0.09740259740259741,3.0,0.0,0.0,0.0,0.0,0.0
James-McCarthy,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayçal-Fajr,36.0,107.0,2.9722222222222223,46.0,43.0,1.0,5.0,10.0,2.0,8.0,0.2222222222222222,3.0,3.0,0.0,1.0,1.0,0.0
Lasse-Schöne,9.8,27.0,2.7551020408163263,14.0,11.0,0.0,2.0,0.0,0.0,3.0,0.3061224489795918,1.0,2.0,0.0,0.0,0.0,0.0
Matías-Kranevitter,3.5,4.0,1.1428571428571428,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
