,90s,Tkl (Total),TklW (Total),Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),Tkl (vs. dribbles),Att (vs. dribbles),Tkl% (vs. dribbles),Past (vs. dribbles),Press,Succ (Press),Succ % (Press),Def 3rd (Press),Mid 3rd (Press),Att 3rd (Press),Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Bruno-Fernandes,7.8,15.0,12.0,8.0,3.0,4.0,4.0,22.0,18.181818181818183,18.0,207.0,43.0,20.77294685990338,42.0,90.0,75.0,13.0,0.0,0.0,13.0,5.0,20.0,3.0,0.0
Giovani-Lo-Celso,33.0,76.0,60.0,25.0,38.0,13.0,21.0,66.0,31.818181818181817,45.0,635.0,172.0,27.086614173228345,122.0,339.0,174.0,43.0,1.0,0.0,42.0,14.0,90.0,13.0,1.0
Youri-Tielemans,36.8,70.0,48.0,24.0,39.0,7.0,27.0,83.0,32.53012048192771,56.0,654.0,169.0,25.840978593272173,181.0,342.0,131.0,56.0,8.0,0.0,48.0,20.0,90.0,43.0,1.0
Kerem-Demirbay,26.5,58.0,42.0,22.0,30.0,6.0,14.0,67.0,20.8955223880597,53.0,480.0,126.0,26.25,141.0,261.0,78.0,44.0,9.0,0.0,35.0,30.0,88.0,33.0,0.0
Dennis-Praet,32.1,76.0,55.0,27.0,39.0,10.0,29.0,64.0,45.3125,35.0,584.0,141.0,24.143835616438356,159.0,294.0,131.0,56.0,3.0,0.0,53.0,22.0,98.0,36.0,0.0
Sander-Berge,4.3,10.0,9.0,2.0,8.0,0.0,3.0,6.0,50.0,3.0,69.0,29.0,42.028985507246375,28.0,33.0,8.0,7.0,2.0,0.0,5.0,3.0,13.0,3.0,0.0
Amadou-Diawara,9.1,21.0,14.0,7.0,12.0,2.0,10.0,19.0,52.63157894736842,9.0,202.0,58.0,28.71287128712871,48.0,118.0,36.0,9.0,2.0,0.0,7.0,12.0,33.0,8.0,0.0
Stanislav-Lobotka,27.7,42.0,34.0,12.0,22.0,8.0,10.0,45.0,22.22222222222222,35.0,670.0,151.0,22.53731343283582,221.0,364.0,85.0,23.0,1.0,0.0,22.0,26.0,68.0,17.0,0.0
Grzegorz-Krychowiak,6.0,15.0,13.0,5.0,7.0,3.0,8.0,12.0,66.66666666666666,4.0,105.0,23.0,21.904761904761905,34.0,61.0,10.0,9.0,1.0,0.0,8.0,8.0,23.0,14.0,1.0
Nadiem-Amiri,8.700000000000001,23.0,12.0,11.0,9.0,3.0,6.0,20.0,30.0,14.0,166.0,46.0,27.710843373493976,50.0,87.0,29.0,9.0,0.0,0.0,9.0,7.0,30.0,4.0,0.0
Stefano-Sturaro,2.4,5.0,4.0,0.0,4.0,1.0,2.0,8.0,25.0,6.0,57.0,15.0,26.31578947368421,18.0,21.0,18.0,5.0,2.0,0.0,3.0,3.0,8.0,1.0,0.0
Ismaël-Bennacer,32.9,96.0,68.0,47.0,40.0,9.0,30.0,78.0,38.46153846153847,48.0,783.0,208.0,26.56449553001277,351.0,343.0,89.0,62.0,10.0,0.0,52.0,60.0,156.0,35.0,0.0
Moussa-Djenepo,4.1,6.0,4.0,4.0,2.0,0.0,1.0,2.0,50.0,1.0,64.0,15.0,23.4375,28.0,26.0,10.0,8.0,0.0,0.0,8.0,5.0,11.0,5.0,0.0
Denis-Suárez,1.6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,58.0,13.0,22.413793103448278,13.0,29.0,16.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Marvelous-Nakamba,4.4,21.0,12.0,15.0,5.0,1.0,4.0,13.0,30.76923076923077,9.0,95.0,21.0,22.105263157894736,50.0,42.0,3.0,16.0,0.0,0.0,16.0,8.0,29.0,6.0,0.0
Sofyan-Amrabat,3.2,8.0,7.0,6.0,1.0,1.0,2.0,4.0,50.0,2.0,59.0,21.0,35.59322033898305,34.0,21.0,4.0,9.0,1.0,0.0,8.0,6.0,14.0,7.0,0.0
Djibril-Sow,5.6,12.0,8.0,4.0,7.0,1.0,1.0,14.0,7.142857142857142,13.0,125.0,29.0,23.200000000000003,44.0,66.0,15.0,7.0,0.0,0.0,7.0,7.0,19.0,11.0,0.0
Santiago-Ascacíbar,27.0,78.0,41.0,47.0,29.0,2.0,22.0,78.0,28.205128205128204,56.0,628.0,168.0,26.751592356687897,286.0,280.0,62.0,59.0,13.0,0.0,46.0,23.0,101.0,40.0,1.0
Roberto-Soriano,21.7,36.0,26.0,14.0,14.0,8.0,8.0,31.0,25.806451612903224,23.0,471.0,128.0,27.176220806794056,92.0,254.0,125.0,30.0,0.0,0.0,30.0,10.0,46.0,11.0,0.0
Lukas-Lerager,30.8,81.0,55.0,30.0,44.0,7.0,27.0,94.0,28.723404255319153,67.0,807.0,182.0,22.55266418835192,196.0,462.0,149.0,50.0,12.0,0.0,38.0,35.0,116.0,54.0,0.0
James-McCarthy,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Fayçal-Fajr,36.0,56.0,30.0,19.0,29.0,8.0,18.0,87.0,20.689655172413794,69.0,723.0,177.0,24.481327800829874,185.0,411.0,127.0,37.0,7.0,0.0,30.0,22.0,78.0,21.0,0.0
Lasse-Schöne,9.8,23.0,16.0,7.0,15.0,1.0,13.0,26.0,50.0,13.0,151.0,42.0,27.81456953642384,47.0,83.0,21.0,15.0,2.0,0.0,13.0,9.0,32.0,12.0,0.0
Matías-Kranevitter,3.5,11.0,8.0,8.0,3.0,0.0,5.0,9.0,55.55555555555556,4.0,91.0,22.0,24.175824175824175,39.0,45.0,7.0,11.0,2.0,0.0,9.0,2.0,13.0,6.0,0.0
