,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won (Aerial Duels),Lost (Aerial Duels),Won% (Aerial Duels)
Bruno-Fernandes,7.8,3.0,0.0,0.0,12.0,12.0,1.0,16.0,5.0,12.0,0.0,0.0,0.0,68.0,1.0,1.0,50.0
Giovani-Lo-Celso,33.0,9.0,0.0,0.0,46.0,83.0,3.0,22.0,14.0,60.0,1.0,0.0,0.0,239.0,10.0,20.0,33.33333333333333
Youri-Tielemans,36.8,10.0,0.0,0.0,43.0,59.0,1.0,38.0,20.0,48.0,0.0,0.0,0.0,399.0,32.0,24.0,57.14285714285714
Kerem-Demirbay,26.5,9.0,0.0,0.0,57.0,39.0,2.0,51.0,30.0,42.0,0.0,0.0,0.0,327.0,12.0,19.0,38.70967741935484
Dennis-Praet,32.1,6.0,0.0,0.0,26.0,41.0,1.0,76.0,22.0,55.0,1.0,0.0,0.0,295.0,14.0,14.0,50.0
Sander-Berge,4.3,0.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,73.0,5.0,6.0,45.45454545454545
Amadou-Diawara,9.1,5.0,0.0,0.0,17.0,6.0,0.0,2.0,12.0,14.0,0.0,0.0,0.0,112.0,5.0,2.0,71.42857142857143
Stanislav-Lobotka,27.7,1.0,0.0,0.0,19.0,48.0,1.0,10.0,26.0,34.0,0.0,0.0,0.0,238.0,5.0,18.0,21.73913043478261
Grzegorz-Krychowiak,6.0,0.0,0.0,0.0,9.0,19.0,0.0,2.0,8.0,13.0,0.0,0.0,0.0,76.0,15.0,8.0,65.21739130434783
Nadiem-Amiri,8.700000000000001,1.0,0.0,0.0,14.0,14.0,0.0,13.0,7.0,12.0,0.0,0.0,0.0,75.0,2.0,9.0,18.181818181818183
Stefano-Sturaro,2.4,0.0,1.0,0.0,5.0,6.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,24.0,2.0,7.0,22.22222222222222
Ismaël-Bennacer,32.9,7.0,0.0,0.0,48.0,59.0,0.0,20.0,60.0,68.0,0.0,1.0,0.0,395.0,24.0,26.0,48.0
Moussa-Djenepo,4.1,3.0,0.0,0.0,8.0,10.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0
Denis-Suárez,1.6,0.0,0.0,0.0,2.0,2.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,20.0,2.0,0.0,100.0
Marvelous-Nakamba,4.4,1.0,0.0,0.0,6.0,5.0,0.0,1.0,8.0,12.0,0.0,0.0,0.0,50.0,1.0,4.0,20.0
Sofyan-Amrabat,3.2,1.0,0.0,0.0,5.0,2.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,30.0,2.0,8.0,20.0
Djibril-Sow,5.6,0.0,0.0,0.0,6.0,10.0,0.0,4.0,7.0,8.0,1.0,0.0,0.0,62.0,2.0,6.0,25.0
Santiago-Ascacíbar,27.0,10.0,1.0,0.0,25.0,33.0,0.0,10.0,23.0,41.0,0.0,0.0,1.0,391.0,19.0,31.0,38.0
Roberto-Soriano,21.7,6.0,0.0,0.0,41.0,27.0,5.0,24.0,10.0,26.0,1.0,0.0,0.0,157.0,18.0,31.0,36.734693877551024
Lukas-Lerager,30.8,8.0,0.0,0.0,54.0,46.0,1.0,18.0,35.0,55.0,0.0,0.0,0.0,333.0,46.0,37.0,55.42168674698795
James-McCarthy,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Fayçal-Fajr,36.0,6.0,0.0,0.0,43.0,89.0,4.0,64.0,22.0,30.0,0.0,0.0,0.0,390.0,11.0,21.0,34.375
Lasse-Schöne,9.8,2.0,0.0,0.0,16.0,8.0,1.0,8.0,9.0,16.0,0.0,0.0,0.0,129.0,10.0,5.0,66.66666666666666
Matías-Kranevitter,3.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,47.0,4.0,1.0,80.0
