,90s,Cmp (Total),Att (Total),Cmp% (Total),TotDist,PrgDist,Cmp (Short),Att (Short),Cmp% (Short),Cmp (Medium),Att (Medium),Cmp% (Medium),Cmp (Long),Att (Long),Cmp% (Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Bruno-Fernandes,7.8,364.0,480.0,75.83333333333333,7124.0,2331.0,164.0,194.0,84.5360824742268,142.0,170.0,83.52941176470588,57.0,102.0,55.88235294117647,2.0,2.0,0.0,14.0,38.0,9.0,0.0,42.0
Giovani-Lo-Celso,33.0,1529.0,1829.0,83.59759431383269,25808.0,5884.0,733.0,821.0,89.28136419001218,614.0,710.0,86.47887323943661,152.0,221.0,68.77828054298642,5.0,4.6,0.4,35.0,128.0,62.0,3.0,156.0
Youri-Tielemans,36.8,1584.0,1988.0,79.67806841046277,31874.0,9077.0,587.0,684.0,85.81871345029239,723.0,838.0,86.27684964200478,254.0,405.0,62.71604938271606,5.0,4.6,0.3999999999999999,44.0,173.0,38.0,7.0,233.0
Kerem-Demirbay,26.5,1262.0,1639.0,76.99816961561929,24917.0,9150.0,498.0,576.0,86.45833333333334,520.0,629.0,82.67090620031796,223.0,380.0,58.684210526315795,11.0,9.6,1.4,92.0,155.0,50.0,8.0,189.0
Dennis-Praet,32.1,1560.0,1878.0,83.06709265175719,25939.0,6963.0,819.0,908.0,90.19823788546255,583.0,683.0,85.35871156661786,140.0,223.0,62.78026905829597,3.0,2.8,0.2,37.0,137.0,47.0,14.0,147.0
Sander-Berge,4.3,264.0,305.0,86.55737704918033,5308.0,1126.0,97.0,111.0,87.38738738738738,119.0,130.0,91.53846153846153,45.0,55.0,81.81818181818183,1.0,0.3,0.7,6.0,20.0,3.0,2.0,23.0
Amadou-Diawara,9.1,612.0,680.0,90.0,11801.0,2579.0,250.0,272.0,91.91176470588235,264.0,281.0,93.95017793594306,94.0,117.0,80.34188034188034,0.0,0.2,-0.2,7.0,69.0,3.0,0.0,55.0
Stanislav-Lobotka,27.7,1284.0,1439.0,89.22863099374567,22612.0,5626.0,608.0,670.0,90.74626865671642,519.0,565.0,91.85840707964601,146.0,181.0,80.66298342541437,1.0,0.9,0.1,20.0,105.0,12.0,1.0,106.0
Grzegorz-Krychowiak,6.0,213.0,273.0,78.02197802197803,3991.0,1467.0,95.0,115.0,82.6086956521739,73.0,84.0,86.90476190476191,40.0,62.0,64.51612903225806,0.0,0.3,-0.3,6.0,29.0,4.0,0.0,36.0
Nadiem-Amiri,8.700000000000001,345.0,403.0,85.60794044665012,5938.0,1521.0,161.0,178.0,90.4494382022472,142.0,156.0,91.02564102564102,37.0,56.0,66.07142857142857,1.0,1.8,-0.7999999999999999,18.0,27.0,10.0,2.0,46.0
Stefano-Sturaro,2.4,43.0,72.0,59.72222222222222,775.0,299.0,20.0,26.0,76.92307692307693,15.0,28.0,53.57142857142857,7.0,12.0,58.333333333333336,0.0,0.2,-0.2,2.0,2.0,0.0,0.0,5.0
Ismaël-Bennacer,32.9,1664.0,1997.0,83.32498748122184,33777.0,9378.0,583.0,642.0,90.80996884735202,785.0,889.0,88.30146231721034,274.0,417.0,65.70743405275779,5.0,2.4,2.6,34.0,163.0,26.0,1.0,185.0
Moussa-Djenepo,4.1,86.0,107.0,80.37383177570094,1309.0,408.0,52.0,53.0,98.11320754716981,27.0,36.0,75.0,7.0,16.0,43.75,0.0,0.2,-0.2,3.0,5.0,1.0,0.0,7.0
Denis-Suárez,1.6,93.0,113.0,82.30088495575221,1344.0,273.0,56.0,61.0,91.80327868852459,28.0,36.0,77.77777777777779,6.0,8.0,75.0,0.0,0.2,-0.2,3.0,6.0,5.0,2.0,4.0
Marvelous-Nakamba,4.4,128.0,148.0,86.48648648648648,2425.0,447.0,53.0,61.0,86.88524590163934,52.0,59.0,88.13559322033898,22.0,24.0,91.66666666666666,0.0,0.1,-0.1,1.0,8.0,1.0,1.0,4.0
Sofyan-Amrabat,3.2,127.0,175.0,72.57142857142857,2152.0,721.0,62.0,73.0,84.93150684931507,56.0,70.0,80.0,9.0,23.0,39.130434782608695,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0
Djibril-Sow,5.6,239.0,276.0,86.59420289855072,4892.0,1106.0,84.0,94.0,89.36170212765957,109.0,120.0,90.83333333333333,45.0,61.0,73.77049180327869,0.0,0.1,-0.1,4.0,23.0,3.0,0.0,23.0
Santiago-Ascacíbar,27.0,923.0,1140.0,80.96491228070175,17205.0,4025.0,368.0,440.0,83.63636363636363,420.0,486.0,86.41975308641975,121.0,168.0,72.02380952380952,0.0,0.7,-0.7,13.0,79.0,10.0,2.0,89.0
