,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Bruno-Fernandes,8.0,702.0,87.75,97.5,7.8,8.0,88.0,7.0,0.0,0.0,0.0,1.75,14.0,5.0,9.0,0.5512820512820513,10.5,6.2,4.3,0.56
Giovani-Lo-Celso,40.0,2971.0,74.275,71.37650622685963,33.0,33.0,85.72727272727273,24.0,7.0,106.71428571428571,3.0,5.96,47.0,47.0,0.0,0.14242424242424243,46.2,41.5,4.7,5.46
Youri-Tielemans,39.0,3306.0,84.76923076923077,51.731034482758616,36.8,39.0,84.92307692307692,28.0,0.0,,0.0,2.46,38.0,58.0,-20.0,-0.01086956521739129,44.3,44.7,-0.39999999999999947,-0.52
Kerem-Demirbay,31.0,2386.0,76.96774193548387,66.27116512992457,26.5,28.0,81.71428571428571,18.0,3.0,370.6666666666667,1.0,2.06,54.0,42.0,12.0,0.5660377358490566,56.1,41.1,15.0,0.28
Dennis-Praet,34.0,2890.0,85.0,84.5,32.1,33.0,87.0,27.0,1.0,35.0,0.0,1.38,50.0,39.0,11.0,-0.006230529595015576,41.9,42.1,-0.2,-0.01
Sander-Berge,5.0,391.0,78.2,54.3,4.3,4.0,90.0,4.0,1.0,30.0,0.0,2.3,10.0,5.0,5.0,0.6976744186046512,6.1,3.1,3.0,0.7
Amadou-Diawara,17.0,825.0,48.529411764705884,21.506545454545456,9.1,9.0,76.11111111111111,4.0,8.0,17.0,14.0,4.71,18.0,7.0,11.0,1.131868131868132,19.5,9.1,10.3,1.73
Stanislav-Lobotka,31.0,2489.0,80.29032258064517,72.8,27.7,27.0,88.0,21.0,4.0,31.0,2.0,1.06,37.0,41.0,-4.0,-0.37906137184115524,32.5,43.0,-10.5,-0.38
Grzegorz-Krychowiak,6.0,540.0,90.0,100.0,6.0,6.0,90.0,6.0,0.0,0.0,0.0,0.5,4.0,12.0,-8.0,-0.3,6.8,8.6,-1.8,-0.3
Nadiem-Amiri,14.0,782.0,55.857142857142854,23.90537084398977,8.700000000000001,10.0,69.0,2.0,4.0,55.0,4.0,1.85,21.0,8.0,13.0,1.4022988505747125,20.5,8.3,12.2,0.55
Stefano-Sturaro,5.0,213.0,42.6,6.2,2.4,4.0,48.0,0.0,1.0,20.0,4.0,0.8,2.0,5.0,-3.0,-1.0,1.7,4.0,-2.4,-1.01
Ismaël-Bennacer,37.0,2961.0,80.02702702702703,86.6,32.9,32.0,89.0,28.0,5.0,26.0,0.0,1.0,44.0,59.0,-15.0,-0.3221884498480243,44.2,54.8,-10.6,-0.32
Moussa-Djenepo,5.0,373.0,74.6,69.1,4.1,4.0,82.0,2.0,1.0,45.0,0.0,1.8,7.0,6.0,1.0,-0.12195121951219513,5.5,6.0,-0.5,-0.12
Denis-Suárez,10.0,146.0,14.6,1.9787671232876711,1.6,0.0,,0.0,10.0,0.0,15.0,8.75,2.0,3.0,-1.0,-1.0625,1.4000000000000001,3.3,-1.7000000000000002,-2.55
Marvelous-Nakamba,5.0,395.0,79.0,73.1,4.4,4.0,90.0,4.0,1.0,34.0,0.0,1.2,5.0,3.0,2.0,-0.15909090909090906,4.3,4.9,-0.7,-0.15
Sofyan-Amrabat,4.0,287.0,71.75,43.03066202090592,3.2,4.0,72.0,2.0,0.0,,1.0,2.5,0.0,4.0,-4.0,-0.46875,2.0,3.5,-1.5,-1.03
Djibril-Sow,6.0,507.0,84.5,93.9,5.6,6.0,85.0,4.0,0.0,0.0,0.0,1.0,4.0,11.0,-7.0,-0.9821428571428572,6.4,11.9,-5.5,-0.98
Santiago-Ascacíbar,27.0,2428.0,89.92592592592592,79.3,27.0,27.0,90.0,25.0,0.0,0.0,0.0,0.78,27.0,55.0,-28.0,-0.5740740740740741,31.3,46.8,-15.5,-0.58
Roberto-Soriano,28.0,1957.0,69.89285714285714,36.37358201328564,21.7,23.0,83.30434782608695,12.0,5.0,10.8,9.0,3.27,31.0,25.0,6.0,0.5207373271889402,32.2,20.9,11.3,0.9099999999999999
Lukas-Lerager,36.0,2767.0,76.86111111111111,39.18962775569209,30.8,32.0,83.90625,23.0,4.0,170.5,6.0,4.36,27.0,34.0,-7.0,-0.032467532467532464,34.800000000000004,35.800000000000004,-1.0,0.45999999999999996
James-McCarthy,1.0,15.0,15.0,0.4,0.2,0.0,0.0,0.0,1.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
Fayçal-Fajr,36.0,3240.0,90.0,94.7,36.0,36.0,90.0,36.0,0.0,0.0,0.0,0.81,28.0,54.0,-26.0,-0.6916666666666667,30.0,54.8,-24.9,-0.69
Lasse-Schöne,11.0,881.0,80.0909090909091,81.6,9.8,11.0,80.0,6.0,0.0,0.0,1.0,2.06,18.0,8.0,10.0,0.6224489795918366,16.1,10.0,6.1,0.62
Matías-Kranevitter,4.0,315.0,78.75,35.0,3.5,3.0,90.0,3.0,1.0,45.0,4.0,0.86,2.0,4.0,-2.0,-0.37142857142857144,3.1,4.4,-1.3,-0.37
