,90s,Touches,Def Pen (Touches),Def 3rd (Touches),Mid 3rd (Touches),Att 3rd (Touches),Att Pen (Touches),Live (Touches),Succ (Dribbles),Att (Dribbles),Succ% (Dribbles),#Pl (Dribbles),Nutmegs,Carries,TotDist (Carries),PrgDist (Carries),Prog (Carries),Fin 1/3 (Carries),PA (Carries),Mis (Carries),Dis (Carries),Target of pass,Rec,Rec%,Prog
Bruno-Fernandes,7.8,564.0,11.0,74.0,319.0,203.0,19.0,523.0,9.0,15.0,60.0,10.0,1.0,425.0,2023.0,1139.0,53.0,15.0,4.0,7.0,13.0,496.0,413.0,83.26612903225806,59.0
Giovani-Lo-Celso,33.0,2316.0,22.0,262.0,1326.0,978.0,141.0,2266.0,81.0,142.0,57.04225352112676,93.0,6.0,1953.0,11565.0,6317.0,310.0,129.0,19.0,72.0,72.0,2134.0,1849.0,86.6447985004686,205.0
Youri-Tielemans,36.8,2387.0,67.0,461.0,1443.0,661.0,45.0,2256.0,39.0,57.0,68.42105263157895,40.0,3.0,1743.0,7777.0,4659.0,201.0,74.0,9.0,44.0,46.0,1820.0,1644.0,90.32967032967034,140.0
Kerem-Demirbay,26.5,1989.0,71.0,388.0,1061.0,699.0,43.0,1802.0,65.0,95.0,68.42105263157895,68.0,3.0,1450.0,8409.0,4636.0,220.0,72.0,7.0,40.0,44.0,1412.0,1285.0,91.0056657223796,98.0
Dennis-Praet,32.1,2220.0,70.0,391.0,1177.0,807.0,76.0,2134.0,53.0,86.0,61.627906976744185,55.0,2.0,1703.0,7664.0,4296.0,218.0,79.0,18.0,33.0,37.0,1792.0,1613.0,90.01116071428571,157.0
Sander-Berge,4.3,343.0,5.0,64.0,242.0,71.0,10.0,333.0,7.0,8.0,87.5,7.0,0.0,243.0,1738.0,935.0,49.0,17.0,2.0,4.0,6.0,248.0,232.0,93.54838709677419,7.0
Amadou-Diawara,9.1,755.0,29.0,141.0,545.0,105.0,6.0,750.0,10.0,13.0,76.92307692307693,11.0,0.0,601.0,1904.0,899.0,21.0,8.0,0.0,7.0,4.0,599.0,578.0,96.4941569282137,12.0
Stanislav-Lobotka,27.7,1641.0,32.0,334.0,1111.0,328.0,18.0,1614.0,33.0,44.0,75.0,34.0,0.0,1298.0,7049.0,3303.0,122.0,40.0,3.0,20.0,23.0,1316.0,1229.0,93.38905775075987,56.0
Grzegorz-Krychowiak,6.0,350.0,18.0,79.0,224.0,73.0,9.0,344.0,3.0,4.0,75.0,3.0,0.0,246.0,1185.0,555.0,25.0,11.0,2.0,3.0,15.0,247.0,219.0,88.66396761133603,29.0
Nadiem-Amiri,8.700000000000001,517.0,10.0,78.0,299.0,189.0,31.0,504.0,19.0,27.0,70.37037037037037,20.0,3.0,402.0,2135.0,1144.0,65.0,23.0,9.0,7.0,14.0,420.0,370.0,88.09523809523809,52.0
Stefano-Sturaro,2.4,105.0,5.0,11.0,62.0,38.0,5.0,102.0,5.0,7.0,71.42857142857143,5.0,0.0,77.0,320.0,117.0,8.0,3.0,0.0,2.0,5.0,81.0,60.0,74.07407407407408,18.0
Ismaël-Bennacer,32.9,2345.0,77.0,602.0,1423.0,497.0,15.0,2166.0,60.0,82.0,73.17073170731707,62.0,1.0,1698.0,9106.0,4514.0,184.0,55.0,7.0,24.0,38.0,1561.0,1474.0,94.42664958360025,63.0
Moussa-Djenepo,4.1,177.0,6.0,38.0,92.0,70.0,18.0,172.0,18.0,25.0,72.0,18.0,0.0,150.0,686.0,438.0,23.0,9.0,2.0,17.0,12.0,171.0,123.0,71.9298245614035,29.0
Denis-Suárez,1.6,144.0,2.0,18.0,71.0,70.0,8.0,133.0,9.0,18.0,50.0,9.0,0.0,126.0,735.0,390.0,21.0,7.0,0.0,3.0,10.0,127.0,107.0,84.25196850393701,17.0
Marvelous-Nakamba,4.4,211.0,14.0,71.0,127.0,20.0,0.0,207.0,3.0,4.0,75.0,3.0,0.0,117.0,519.0,194.0,6.0,2.0,0.0,3.0,3.0,103.0,100.0,97.0873786407767,4.0
Sofyan-Amrabat,3.2,221.0,16.0,76.0,111.0,53.0,1.0,198.0,4.0,7.0,57.14285714285714,5.0,1.0,138.0,681.0,353.0,12.0,3.0,1.0,6.0,7.0,142.0,131.0,92.25352112676056,3.0
Djibril-Sow,5.6,332.0,15.0,73.0,214.0,71.0,6.0,323.0,5.0,5.0,100.0,5.0,0.0,241.0,1470.0,628.0,25.0,8.0,0.0,5.0,1.0,223.0,212.0,95.06726457399103,10.0
Santiago-Ascacíbar,27.0,1433.0,68.0,363.0,871.0,266.0,22.0,1404.0,10.0,17.0,58.82352941176471,11.0,0.0,849.0,3809.0,1925.0,97.0,25.0,2.0,22.0,17.0,856.0,777.0,90.77102803738318,44.0
Roberto-Soriano,21.7,1075.0,18.0,126.0,548.0,508.0,66.0,1056.0,30.0,37.0,81.08108108108108,30.0,1.0,799.0,5198.0,2739.0,151.0,66.0,13.0,20.0,33.0,1051.0,788.0,74.97621313035204,173.0
Lukas-Lerager,30.8,1559.0,57.0,339.0,948.0,369.0,47.0,1529.0,12.0,20.0,60.0,13.0,0.0,1000.0,4065.0,1893.0,90.0,35.0,4.0,17.0,20.0,1091.0,937.0,85.88450962419797,98.0
James-McCarthy,0.2,10.0,0.0,2.0,8.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0
Fayçal-Fajr,36.0,2415.0,34.0,415.0,1528.0,609.0,20.0,2121.0,47.0,73.0,64.38356164383562,49.0,2.0,1733.0,7070.0,3149.0,140.0,50.0,3.0,32.0,40.0,1750.0,1562.0,89.25714285714285,79.0
Lasse-Schöne,9.8,716.0,27.0,148.0,446.0,152.0,6.0,665.0,7.0,12.0,58.333333333333336,8.0,0.0,489.0,1661.0,561.0,26.0,10.0,1.0,6.0,9.0,507.0,468.0,92.3076923076923,13.0
Matías-Kranevitter,3.5,239.0,10.0,90.0,149.0,11.0,0.0,232.0,2.0,3.0,66.66666666666666,2.0,0.0,167.0,504.0,234.0,5.0,1.0,0.0,1.0,4.0,161.0,154.0,95.65217391304348,3.0
