,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Bruno-Fernandes,7.8,3.0,16.0,5.0,31.25,2.0512820512820515,0.6410256410256411,0.1875,0.6,24.7,0.0,0.0,0.0,1.1,1.1,0.06875,1.9,1.9
Giovani-Lo-Celso,33.0,14.0,78.0,32.0,41.02564102564102,2.3636363636363638,0.9696969696969697,0.1794871794871795,0.4375,37.900000000000006,2.0,2.0,4.0,10.9,7.800000000000001,0.1,3.1,4.2
Youri-Tielemans,36.8,8.0,77.0,25.0,32.467532467532465,2.092391304347826,0.6793478260869565,0.1038961038961039,0.32,75.7,8.0,1.0,1.0,5.2,4.3999999999999995,0.057142857142857134,2.8,2.5999999999999996
Kerem-Demirbay,26.5,4.0,66.0,17.0,25.757575757575758,2.490566037735849,0.6415094339622641,0.06060606060606061,0.23529411764705882,42.2,6.0,0.0,0.0,4.6,4.6,0.06969696969696969,-0.6,-0.6
Dennis-Praet,32.1,2.0,34.0,12.0,35.294117647058826,1.0591900311526479,0.37383177570093457,0.058823529411764705,0.16666666666666666,22.3,0.0,0.0,0.0,1.8,1.8,0.052941176470588235,0.2,0.2
Sander-Berge,4.3,2.0,8.0,4.0,50.0,1.8604651162790697,0.9302325581395349,0.25,0.5,19.7,0.0,0.0,0.0,0.5,0.5,0.0625,1.5,1.5
Amadou-Diawara,9.1,0.0,10.0,1.0,10.0,1.098901098901099,0.10989010989010989,0.0,0.0,53.2,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
Stanislav-Lobotka,27.7,0.0,11.0,2.0,18.181818181818183,0.39711191335740076,0.07220216606498195,0.0,0.0,21.3,0.0,0.0,0.0,0.7,0.7,0.06363636363636363,-0.7,-0.7
Grzegorz-Krychowiak,6.0,0.0,7.0,1.0,14.285714285714285,1.1666666666666667,0.16666666666666666,0.0,0.0,17.4,0.0,0.0,0.0,0.7,0.7,0.09999999999999999,-0.7,-0.7
Nadiem-Amiri,8.700000000000001,3.0,20.0,6.0,30.0,2.2988505747126435,0.689655172413793,0.15,0.5,34.9,0.0,0.0,0.0,2.2,2.2,0.11000000000000001,0.8,0.8
Stefano-Sturaro,2.4,1.0,3.0,1.0,33.33333333333333,1.25,0.4166666666666667,0.3333333333333333,1.0,23.6,0.0,0.0,0.0,0.1,0.1,0.03333333333333333,0.9,0.9
Ismaël-Bennacer,32.9,0.0,19.0,5.0,26.31578947368421,0.5775075987841946,0.1519756838905775,0.0,0.0,26.0,4.0,0.0,0.0,0.6,0.6,0.031578947368421054,-0.6,-0.6
Moussa-Djenepo,4.1,3.0,8.0,3.0,37.5,1.9512195121951221,0.7317073170731708,0.375,1.0,14.6,0.0,0.0,0.0,2.3,2.3,0.2875,0.7,0.7
Denis-Suárez,1.6,0.0,1.0,1.0,100.0,0.625,0.625,0.0,0.0,9.8,0.0,0.0,0.0,0.3,0.3,0.3,-0.3,-0.3
Marvelous-Nakamba,4.4,0.0,2.0,1.0,50.0,0.45454545454545453,0.22727272727272727,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan-Amrabat,3.2,0.0,1.0,0.0,0.0,0.3125,0.0,0.0,,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibril-Sow,5.6,0.0,5.0,0.0,0.0,0.8928571428571429,0.0,0.0,,22.6,1.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3
Santiago-Ascacíbar,27.0,0.0,19.0,5.0,26.31578947368421,0.7037037037037037,0.18518518518518517,0.0,0.0,18.7,0.0,0.0,0.0,1.4,1.4,0.07368421052631578,-1.4,-1.4
Roberto-Soriano,21.7,2.0,34.0,7.0,20.588235294117645,1.566820276497696,0.3225806451612903,0.058823529411764705,0.2857142857142857,35.0,0.0,0.0,0.0,3.5,3.5,0.10294117647058823,-1.5,-1.5
Lukas-Lerager,30.8,1.0,29.0,8.0,27.586206896551722,0.9415584415584415,0.2597402597402597,0.034482758620689655,0.125,55.60000000000001,0.0,0.0,0.0,2.1,2.1,0.07241379310344828,-1.1,-1.1
James-McCarthy,0.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Fayçal-Fajr,36.0,5.0,50.0,15.0,30.0,1.3888888888888888,0.4166666666666667,0.1,0.3333333333333333,27.1,17.0,0.0,0.0,2.5,2.5,0.05,2.5,1.5
Lasse-Schöne,9.8,1.0,16.0,5.0,31.25,1.6326530612244896,0.5102040816326531,0.0625,0.2,28.2,10.0,0.0,0.0,0.7,0.7,0.04375,0.3,0.3
Matías-Kranevitter,3.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
