,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
Bruno-Fernandes,8.0,8.0,702.0,7.8,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.38461538461538464,0.25641025641025644,0.6410256410256411,0.38461538461538464,0.6410256410256411,1.1,1.1,2.0,3.1,0.14102564102564105,0.25641025641025644,0.39743589743589747,0.14102564102564105,0.39743589743589747
Giovani-Lo-Celso,40.0,33.0,2971.0,33.0,14.0,5.0,12.0,2.0,4.0,9.0,0.0,0.42424242424242425,0.15151515151515152,0.5757575757575758,0.36363636363636365,0.5151515151515151,10.9,7.800000000000001,4.6,12.5,0.3303030303030303,0.13939393939393938,0.4696969696969697,0.2363636363636364,0.3787878787878788
Youri-Tielemans,39.0,39.0,3306.0,36.8,8.0,5.0,7.0,1.0,1.0,10.0,0.0,0.2173913043478261,0.13586956521739132,0.3532608695652174,0.19021739130434784,0.32608695652173914,5.2,4.3999999999999995,4.6,9.1,0.14130434782608697,0.125,0.266304347826087,0.11956521739130434,0.2472826086956522
Kerem-Demirbay,31.0,28.0,2386.0,26.5,4.0,11.0,4.0,0.0,0.0,9.0,0.0,0.1509433962264151,0.41509433962264153,0.5660377358490566,0.1509433962264151,0.5660377358490566,4.6,4.6,9.6,14.1,0.17358490566037735,0.3622641509433962,0.5358490566037736,0.17358490566037735,0.5320754716981132
Dennis-Praet,34.0,33.0,2890.0,32.1,2.0,3.0,2.0,0.0,0.0,6.0,0.0,0.06230529595015576,0.09345794392523364,0.1557632398753894,0.06230529595015576,0.1557632398753894,1.8,1.8,2.8,4.6,0.056074766355140186,0.08722741433021806,0.14330218068535824,0.056074766355140186,0.14330218068535824
Sander-Berge,5.0,4.0,391.0,4.3,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.46511627906976744,0.23255813953488372,0.6976744186046512,0.46511627906976744,0.6976744186046512,0.5,0.5,0.3,0.7,0.11627906976744186,0.06976744186046512,0.18604651162790697,0.11627906976744186,0.1627906976744186
Amadou-Diawara,17.0,9.0,825.0,9.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.03296703296703297,0.02197802197802198,0.054945054945054944,0.03296703296703297,0.054945054945054944
Stanislav-Lobotka,31.0,27.0,2489.0,27.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.036101083032490974,0.036101083032490974,0.0,0.036101083032490974,0.7,0.7,0.9,1.6,0.02527075812274368,0.03249097472924188,0.05776173285198556,0.02527075812274368,0.05776173285198556
Grzegorz-Krychowiak,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,0.11666666666666665,0.049999999999999996,0.16666666666666666,0.11666666666666665,0.16666666666666666
Nadiem-Amiri,14.0,10.0,782.0,8.700000000000001,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.3448275862068965,0.11494252873563217,0.4597701149425287,0.3448275862068965,0.4597701149425287,2.2,2.2,1.8,4.1,0.2528735632183908,0.2068965517241379,0.4597701149425287,0.2528735632183908,0.4712643678160919
Stefano-Sturaro,5.0,4.0,213.0,2.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.1,0.1,0.2,0.3,0.04166666666666667,0.08333333333333334,0.125,0.04166666666666667,0.125
Ismaël-Bennacer,37.0,32.0,2961.0,32.9,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.1519756838905775,0.1519756838905775,0.0,0.1519756838905775,0.6,0.6,2.4,3.0,0.0182370820668693,0.0729483282674772,0.0911854103343465,0.0182370820668693,0.0911854103343465
Moussa-Djenepo,5.0,4.0,373.0,4.1,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.7317073170731708,0.0,0.7317073170731708,0.7317073170731708,0.7317073170731708,2.3,2.3,0.2,2.6,0.5609756097560976,0.04878048780487806,0.6097560975609757,0.5609756097560976,0.6341463414634148
Denis-Suárez,10.0,0.0,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.18749999999999997,0.125,0.3125,0.18749999999999997,0.3125
Marvelous-Nakamba,5.0,4.0,395.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728
Sofyan-Amrabat,4.0,4.0,287.0,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
